Timestamp,Sensor Data
0.0,470
0.0,469
0.0,468
0.001,467
0.001,466
0.001,466
0.003,465
0.003,465
0.003,465
0.003,465
0.004,467
0.004,468
0.006,469
0.006,471
0.006,473
0.006,474
0.007,477
0.007,479
0.007,481
0.008,484
0.008,486
0.008,488
0.009,491
0.009,494
0.009,497
0.011,501
0.011,505
0.011,509
0.011,513
0.011,517
0.011,521
0.012,525
0.014,529
0.014,533
0.014,537
0.014,540
0.014,543
0.016,547
0.016,550
0.016,552
0.016,554
0.016,555
0.017,554
0.017,553
0.019,551
0.019,547
0.019,543
0.019,539
0.019,535
0.019,529
0.02,524
0.022,518
0.022,512
0.022,506
0.022,500
0.022,494
0.022,488
0.025,482
0.025,476
0.025,470
0.025,465
0.025,460
0.025,456
0.025,452
0.027,449
0.027,447
0.027,446
0.027,446
0.027,447
0.027,449
0.03,452
0.03,456
0.03,463
0.03,473
0.03,483
0.03,494
0.033,504
0.033,512
0.033,521
0.033,528
0.033,534
0.033,540
0.033,545
0.036,549
0.036,553
0.036,556
0.036,558
0.036,558
0.036,557
0.038,554
0.038,549
0.038,544
0.038,540
0.038,534
0.038,528
0.039,521
0.041,513
0.041,505
0.041,498
0.041,490
0.041,481
0.041,474
0.043,467
0.043,462
0.043,462
0.043,467
0.043,473
0.045,477
0.046,480
0.046,480
0.046,481
0.046,480
0.046,480
0.046,480
0.047,481
0.049,481
0.049,483
0.049,484
0.049,486
0.049,489
0.049,493
0.052,497
0.052,502
0.052,508
0.052,513
0.052,519
0.052,525
0.052,531
0.055,536
0.055,540
0.055,543
0.055,546
0.055,547
0.055,548
0.057,549
0.057,548
0.057,549
0.057,549
0.057,548
0.057,547
0.06,544
0.06,541
0.06,536
0.06,532
0.06,527
0.06,521
0.06,517
0.063,512
0.063,508
0.063,504
0.063,500
0.063,496
0.064,492
0.066,488
0.066,484
0.066,480
0.066,478
0.066,475
0.066,473
0.067,472
0.068,471
0.068,472
0.068,473
0.068,474
0.068,475
0.068,477
0.071,480
0.071,484
0.071,488
0.071,493
0.071,498
0.071,504
0.074,511
0.074,516
0.074,521
0.074,527
0.074,532
0.074,536
0.075,540
0.077,545
0.077,550
0.077,553
0.077,555
0.077,555
0.077,555
0.079,553
0.079,551
0.079,548
0.079,543
0.079,538
0.079,533
0.08,527
0.082,521
0.082,515
0.082,509
0.082,503
0.082,498
0.082,493
0.085,489
0.085,485
0.085,480
0.085,477
0.085,474
0.085,471
0.087,469
0.087,467
0.087,466
0.087,466
0.087,467
0.088,468
0.088,470
0.09,472
0.09,475
0.09,479
0.09,483
0.09,488
0.09,493
0.093,498
0.093,504
0.093,510
0.093,517
0.094,522
0.094,528
0.094,534
0.096,539
0.096,544
0.096,548
0.096,551
0.096,553
0.096,555
0.098,555
0.098,555
0.098,553
0.098,551
0.098,548
0.098,544
0.1,539
0.101,533
0.101,528
0.101,522
0.101,516
0.101,509
0.101,504
0.103,498
0.103,493
0.103,488
0.103,483
0.103,479
0.103,476
0.106,473
0.106,470
0.106,468
0.107,467
0.107,466
0.107,466
0.107,467
0.109,468
0.109,469
0.109,472
0.109,475
0.109,478
0.109,481
0.111,486
0.111,491
0.111,496
0.111,502
0.111,509
0.112,515
0.114,520
0.114,525
0.114,531
0.114,536
0.114,540
0.114,544
0.114,548
0.117,550
0.117,552
0.117,554
0.117,554
0.117,554
0.118,552
0.12,550
0.12,546
0.12,541
0.12,535
0.12,530
0.12,524
0.12,518
0.123,511
0.123,505
0.123,500
0.123,495
0.123,491
0.123,487
0.125,483
0.125,480
0.125,477
0.125,474
0.126,472
0.126,470
0.128,469
0.128,467
0.128,467
0.128,467
0.128,468
0.128,469
