Timestamp,Sensor Data
0.0,537
0.0,538
0.0,538
0.001,538
0.001,538
0.001,538
0.002,538
0.003,537
0.003,537
0.003,536
0.003,535
0.003,535
0.005,533
0.005,531
0.005,529
0.006,527
0.006,526
0.006,524
0.006,522
0.008,520
0.008,517
0.009,514
0.009,511
0.009,508
0.009,504
0.011,501
0.011,497
0.011,494
0.011,491
0.011,488
0.011,485
0.012,483
0.013,480
0.014,478
0.014,476
0.014,475
0.014,473
0.014,471
0.016,469
0.016,468
0.016,468
0.016,467
0.017,466
0.017,467
0.019,469
0.019,474
0.019,481
0.019,488
0.02,494
0.02,499
0.02,505
0.022,512
0.022,518
0.022,525
0.022,532
0.023,538
0.023,543
0.024,547
0.025,552
0.025,555
0.025,557
0.025,558
0.025,558
0.025,557
0.027,556
0.027,553
0.027,549
0.027,545
0.027,541
0.029,536
0.03,530
0.03,524
0.031,518
0.031,512
0.031,506
0.031,501
0.033,497
0.033,492
0.033,488
0.033,484
0.033,481
0.033,477
0.034,474
0.036,472
0.036,471
0.036,469
0.036,469
0.036,469
0.036,469
0.038,470
0.038,471
0.038,473
0.038,476
0.038,479
0.038,483
0.039,488
0.041,492
0.041,498
0.041,504
0.041,509
0.041,515
0.042,520
0.044,525
0.044,530
0.044,534
0.044,538
0.044,541
0.045,543
0.046,545
0.047,544
0.047,544
0.047,542
0.047,539
0.047,536
0.047,532
0.049,527
0.049,522
0.049,516
0.049,510
0.05,505
0.05,499
0.051,494
0.051,489
0.051,484
0.051,479
0.051,475
0.051,471
0.052,468
0.055,465
0.055,463
0.055,460
0.055,458
0.055,456
0.055,455
0.057,454
0.057,454
0.058,455
0.058,456
0.058,458
0.058,460
0.06,461
0.06,462
0.06,463
0.06,465
0.06,467
0.06,469
0.061,471
0.062,475
0.063,481
0.063,493
0.063,504
0.063,514
0.063,522
0.065,529
0.065,535
0.065,540
0.065,545
0.065,549
0.066,552
0.066,554
0.068,554
0.068,552
0.068,549
0.068,544
0.068,539
0.068,534
0.071,528
0.071,522
0.071,517
0.071,512
0.071,506
0.071,501
0.074,497
0.074,493
0.074,489
0.074,486
0.074,484
0.075,482
0.075,481
0.076,480
0.076,480
0.076,480
0.076,481
0.076,482
0.076,484
0.079,486
0.079,490
0.079,493
0.079,498
0.08,502
0.08,507
0.08,512
0.082,517
0.082,522
0.082,527
0.082,531
0.082,536
0.082,540
0.084,543
0.084,545
0.084,547
0.084,548
0.084,547
0.084,546
0.087,544
0.087,542
0.087,539
0.087,537
0.087,535
0.087,531
0.087,527
0.09,521
0.09,515
0.09,508
0.09,502
0.09,495
0.09,490
0.093,485
0.093,480
0.093,477
0.093,473
0.093,470
0.093,466
0.093,463
0.095,461
0.095,459
0.095,459
0.095,460
0.095,464
0.095,470
0.098,475
0.098,481
0.098,485
0.098,489
0.098,493
0.098,496
0.101,501
0.101,505
0.101,509
0.101,513
0.101,518
0.101,522
0.102,527
0.103,531
0.103,536
0.103,540
0.103,543
0.103,545
0.103,546
0.106,547
0.106,547
0.106,546
0.106,543
0.106,540
0.106,537
0.107,533
0.108,528
0.108,522
0.108,516
0.109,509
0.109,501
0.109,494
0.112,488
0.112,483
0.112,478
0.112,473
0.112,468
0.112,464
0.114,461
0.114,459
0.114,458
0.114,458
0.114,459
0.114,461
0.114,464
0.117,467
0.117,471
0.117,475
0.117,478
0.117,482
0.117,485
0.12,488
0.12,492
0.12,495
0.12,499
0.12,503
0.12,508
0.121,513
0.123,517
0.123,521
0.123,525
0.123,529
0.123,532
0.123,535
0.125,538
0.125,541
0.125,544
0.125,547
0.125,549
0.125,548
0.128,547
0.128,545
0.128,542
0.128,538
0.128,533
0.129,528
0.129,523
0.131,517
0.131,512
0.131,507
0.131,502
0.131,497
0.131,493
0.133,488
0.133,484
0.133,481
0.133,479
0.133,476
0.133,476
0.133,475
0.136,475
0.136,475
0.136,476
0.136,477
0.136,478
0.136,480
0.138,482
0.138,484
0.139,488
0.139,493
0.139,497
0.139,502
0.141,508
