Timestamp,Sensor Data
0.0,428
0.0,423
0.0,418
0.001,413
0.001,409
0.001,406
0.003,403
0.003,402
0.003,401
0.003,401
0.004,401
0.004,401
0.005,403
0.006,405
0.006,408
0.006,411
0.007,414
0.007,418
0.007,423
0.008,428
0.008,433
0.008,440
0.008,447
0.009,456
0.009,465
0.011,475
0.011,486
0.011,497
0.011,509
0.012,520
0.012,531
0.012,542
0.013,553
0.014,563
0.014,574
0.014,584
0.014,593
0.014,604
0.016,614
0.016,622
0.016,627
0.016,629
0.017,629
0.017,626
0.019,620
0.019,611
0.019,600
0.019,586
0.02,570
0.02,552
0.02,534
0.021,517
0.022,501
0.022,486
0.022,472
0.022,459
0.022,448
0.025,437
0.025,427
0.025,419
0.026,412
0.026,406
0.026,401
0.026,399
0.027,398
0.027,398
0.027,399
0.027,402
0.028,405
0.028,409
0.03,414
0.03,419
0.03,426
0.03,435
0.03,445
0.031,459
0.032,474
0.032,490
0.032,507
0.032,525
0.033,542
0.033,559
0.033,575
0.035,588
0.035,600
0.035,610
0.035,618
0.035,623
0.035,627
0.038,627
0.038,625
0.038,619
0.038,609
0.038,599
0.038,586
0.038,570
0.041,553
0.041,535
0.041,518
0.041,502
0.041,487
0.041,473
0.043,460
0.043,449
0.043,438
0.043,429
0.043,421
0.043,413
0.046,407
0.046,402
0.046,399
0.046,397
0.046,396
0.046,397
0.046,399
0.049,403
0.049,407
0.049,412
0.049,419
0.049,426
0.049,434
0.052,445
0.052,458
0.052,474
0.052,491
0.052,508
0.053,526
0.053,544
0.055,561
0.055,577
0.055,591
0.055,604
0.055,615
0.055,622
0.057,627
0.057,629
0.057,629
0.057,626
0.057,619
0.057,611
0.06,600
0.06,586
0.06,571
0.06,553
0.06,535
0.06,518
0.06,502
0.063,487
0.063,474
0.063,461
0.063,450
0.063,440
0.063,430
0.065,422
0.065,414
0.065,408
0.065,402
0.065,398
0.065,396
0.065,395
0.067,397
0.068,399
0.068,404
0.068,409
0.068,414
0.068,421
0.07,429
0.07,438
0.07,448
0.07,462
0.07,477
0.07,495
0.073,513
0.073,531
0.073,548
0.073,564
0.073,580
0.073,594
0.073,606
0.075,617
0.076,626
0.076,632
0.076,635
0.076,635
0.077,632
0.078,627
0.078,618
0.078,607
0.079,593
0.079,577
0.079,560
0.079,542
0.082,525
0.082,509
0.082,494
0.082,480
0.082,466
0.082,454
0.084,444
0.084,434
0.084,425
0.084,418
0.084,412
0.084,407
0.087,404
0.087,402
0.087,400
0.087,401
0.087,403
0.087,407
0.087,411
0.09,416
0.09,422
0.09,429
0.09,438
0.09,448
0.09,461
0.093,476
0.093,493
0.093,511
0.093,529
0.093,547
0.093,563
0.094,579
0.095,593
0.095,606
0.095,617
0.095,626
0.095,632
0.095,635
0.098,636
0.098,633
0.098,627
0.098,619
0.098,608
0.098,595
0.101,581
0.101,564
0.101,547
0.101,530
0.101,514
0.101,500
0.101,486
0.103,474
0.103,463
0.103,452
0.103,443
0.103,435
0.103,428
0.106,422
0.106,416
0.106,413
0.106,410
0.106,409
0.106,410
0.106,412
0.108,415
0.108,420
0.108,425
0.108,432
0.109,439
0.109,447
0.112,457
0.112,470
0.112,485
0.112,502
0.112,520
0.112,538
0.114,556
0.114,573
0.114,589
0.114,604
0.114,617
0.114,628
0.114,637
0.117,643
0.117,647
0.117,647
0.117,645
0.117,640
0.117,633
0.12,622
0.12,609
0.12,593
0.12,576
0.12,558
0.12,540
0.12,524
0.122,509
0.122,495
0.122,482
0.122,469
0.122,458
0.123,449
0.125,440
0.125,433
0.125,427
0.125,422
0.125,418
0.125,416
0.128,416
0.128,417
0.128,419
0.128,422
0.128,426
0.128,430
0.128,436
0.131,442
0.131,450
0.131,461
0.131,474
0.131,489
0.132,506
0.133,523
0.133,540
0.133,556
0.133,574
0.134,589
0.134,604
0.134,616
0.136,626
0.136,635
0.136,641
0.136,644
0.136,645
0.137,642
0.139,637
0.139,630
0.139,619
0.139,607
0.139,592
0.139,575
0.141,556
0.141,539
0.141,522
0.142,506
0.142,492
0.142,478
0.142,465
0.144,453
0.144,442
0.144,432
0.144,424
0.144,418
0.144,413
0.146,409
0.147,406
0.147,405
0.147,405
0.147,406
0.147,408
0.147,412
0.149,416
0.149,422
0.149,429
0.149,438
0.149,447
0.149,459
0.152,473
0.152,488
0.152,505
0.152,523
0.152,540
0.152,558
0.155,573
0.155,587
0.155,599
0.155,609
0.155,617
0.155,623
0.155,626
0.158,626
0.158,624
0.158,618
0.158,611
0.158,601
0.158,588
0.16,573
0.16,556
0.16,538
