Timestamp,Sensor Data
0.0,590
0.0,586
0.0,582
0.001,576
0.001,570
0.001,562
0.003,553
0.004,544
0.004,535
0.004,525
0.004,515
0.005,505
0.006,495
0.006,486
0.006,477
0.006,469
0.007,462
0.007,454
0.007,447
0.009,441
0.009,435
0.009,429
0.009,424
0.01,419
0.01,414
0.011,410
0.011,406
0.011,403
0.012,400
0.012,398
0.012,396
0.012,395
0.014,394
0.014,394
0.014,394
0.014,395
0.015,395
0.015,398
0.017,402
0.017,406
0.017,411
0.017,417
0.018,424
0.018,433
0.02,444
0.02,457
0.02,471
0.021,486
0.021,501
0.021,516
0.021,530
0.022,544
0.022,556
0.022,567
0.022,575
0.023,582
0.023,587
0.024,589
0.024,589
0.025,586
0.025,582
0.025,575
0.025,565
0.025,554
0.027,541
0.027,527
0.027,512
0.027,498
0.028,485
0.028,473
0.03,462
0.03,452
0.03,443
0.03,435
0.03,427
0.03,420
0.032,415
0.033,411
0.033,408
0.033,406
0.033,405
0.033,405
0.033,406
0.035,408
0.035,410
0.036,414
0.036,418
0.036,423
0.036,428
0.038,436
0.038,445
0.038,456
0.038,469
0.038,483
0.039,497
0.039,512
0.041,527
0.041,541
0.041,555
0.041,568
0.041,578
0.041,587
0.044,594
0.044,599
0.044,602
0.044,603
0.044,601
0.044,596
0.047,590
0.047,581
0.047,570
0.047,557
0.047,542
0.047,527
0.047,514
0.049,501
0.049,488
0.049,476
0.049,465
0.049,456
0.049,447
0.052,439
0.052,433
0.052,427
0.053,423
0.053,419
0.053,417
0.053,416
0.055,416
0.055,417
0.055,419
0.055,421
0.055,424
0.055,429
0.058,433
0.058,439
0.058,447
0.058,456
0.058,467
0.058,480
0.06,494
0.06,508
0.06,522
0.06,537
0.06,551
0.061,564
0.061,577
0.062,587
0.063,595
0.063,603
0.063,608
0.063,610
0.063,610
0.066,608
0.066,603
0.066,596
0.066,587
0.066,575
0.067,562
0.067,547
0.068,533
0.068,518
0.068,505
0.068,492
0.068,481
0.069,470
0.071,460
0.071,451
0.071,443
0.071,436
0.071,430
0.071,425
0.074,421
0.074,418
0.074,417
0.074,416
0.074,416
0.074,417
0.074,419
0.077,421
0.077,424
0.077,428
0.077,433
0.077,439
0.077,447
0.079,457
0.079,469
0.079,482
0.079,496
0.079,510
0.08,525
0.08,539
0.082,553
0.082,565
0.082,576
0.082,583
0.082,589
0.082,594
0.084,597
0.084,597
0.084,594
0.084,589
0.084,582
0.084,573
0.087,561
0.087,548
0.087,533
0.087,518
0.087,504
0.087,490
0.087,477
0.09,466
0.09,455
0.09,446
0.09,437
0.09,429
0.09,422
0.093,416
0.093,412
0.093,408
0.093,405
0.093,403
0.093,403
0.093,404
0.096,405
0.096,408
0.096,411
0.096,415
0.096,420
0.096,426
0.098,432
0.098,441
0.098,451
0.098,463
0.098,477
0.099,492
0.101,507
0.101,521
0.101,535
0.101,549
0.101,561
0.101,572
0.102,582
0.104,590
0.104,596
0.104,599
0.104,600
0.104,597
0.104,593
0.107,587
0.107,579
0.107,568
0.107,555
0.107,541
0.107,526
0.107,511
0.109,498
0.109,486
0.109,474
0.109,463
0.11,454
0.11,445
0.111,437
0.112,429
0.112,423
0.112,419
0.112,416
0.112,414
0.114,413
0.114,413
0.114,414
0.114,415
0.115,418
0.115,421
0.115,426
0.117,430
0.117,435
0.117,442
0.117,451
0.117,461
0.117,474
0.119,488
0.12,502
0.12,517
0.12,532
0.12,547
0.12,561
0.12,574
0.123,585
0.123,595
0.123,602
0.123,607
0.123,611
0.123,612
0.125,610
0.125,606
0.125,600
0.125,591
0.126,581
0.126,568
0.128,554
0.128,539
0.128,525
0.128,512
0.128,500
0.128,488
0.128,477
0.131,468
0.131,459
0.131,452
0.131,445
0.131,440
0.131,434
0.134,430
0.134,426
0.134,424
0.134,423
0.134,423
0.134,424
0.134,427
0.136,430
0.136,435
0.136,441
0.136,447
0.137,454
0.137,462
0.139,472
0.139,484
0.14,498
0.14,512
0.14,527
0.14,542
0.142,556
0.142,569
0.142,582
0.142,593
0.142,602
0.142,609
0.143,615
0.145,617
0.145,617
0.145,615
0.145,611
0.145,604
0.146,595
0.147,584
0.147,571
0.147,556
0.147,541
0.147,526
0.147,514
0.148,501
0.15,490
0.15,479
0.15,470
0.15,461
0.15,453
0.151,446
0.153,440
0.153,436
0.153,432
0.153,429
0.154,427
0.154,426
0.155,426
0.155,427
0.155,429
0.156,432
0.156,436
0.156,441
0.156,446
0.157,452
0.158,460
0.158,470
0.158,482
0.158,496
0.158,511
0.161,525
0.161,540
0.161,554
0.161,569
0.161,582
0.161,593
0.162,602
0.163,610
0.163,615
0.164,618
0.164,619
0.164,618
0.164,614
0.166,608
0.166,600
0.166,591
0.166,579
0.166,564
0.166,550
0.169,535
0.169,522
0.169,509
0.169,498
0.169,488
0.17,478
0.17,469
0.172,461
0.172,454
0.172,448
0.172,443
0.172,439
0.172,436
0.175,435
0.175,434
0.175,435
0.175,436
0.175,439
0.175,442
0.175,446
0.177,451
0.177,456
0.177,464
0.177,472
0.177,483
0.177,496
0.18,510
0.18,525
0.18,540
0.18,554
0.18,568
0.18,582
0.183,595
0.183,606
0.183,616
0.183,624
0.183,630
0.183,634
0.183,635
0.185,635
0.185,631
0.186,625
0.186,617
0.186,607
0.186,594
0.188,580
0.188,565
0.188,550
0.188,536
0.188,524
0.188,513
0.188,502
0.191,492
0.191,483
0.191,475
0.191,468
