Timestamp,Sensor Data
0.0,628
0.01,481
0.021,612
0.031,540
0.042,572
0.051,563
0.062,536
0.072,583
0.083,474
0.093,607
0.103,440
0.114,617
0.124,397
0.134,648
0.144,357
0.155,666
0.164,342
0.175,678
0.185,315
0.195,686
0.206,295
0.216,692
0.227,279
0.237,687
0.247,302
0.258,704
0.267,298
0.278,683
0.288,322
0.298,685
0.309,340
0.319,675
0.329,364
0.339,653
0.35,386
0.36,642
0.37,421
0.38,596
0.391,469
0.401,583
0.411,500
0.422,547
0.432,520
0.442,511
0.452,561
0.463,460
0.473,585
0.483,426
0.493,592
0.503,410
0.514,643
0.524,361
0.534,659
0.544,331
0.555,676
0.565,311
0.576,693
0.586,300
0.596,695
0.606,289
0.616,689
0.628,286
0.637,698
0.647,285
0.658,687
0.668,301
0.678,676
0.688,326
0.698,656
0.709,349
0.719,651
0.73,354
0.741,645
0.75,427
0.761,614
0.771,460
0.781,581
0.791,502
0.802,539
0.811,514
0.822,521
0.832,545
0.843,464
0.853,592
0.863,456
0.873,614
0.884,417
0.894,653
0.904,392
0.914,676
0.925,355
0.935,688
0.945,330
0.955,703
0.966,313
0.976,703
0.986,310
0.996,719
1.006,310
1.017,745
1.027,359
1.038,815
1.048,434
1.058,829
1.068,472
1.079,787
1.089,439
1.098,715
1.108,431
1.119,677
1.129,434
1.14,626
1.15,445
1.161,585
1.171,463
1.181,539
1.192,501
1.202,501
1.212,528
1.223,460
1.233,545
1.243,440
1.253,592
1.264,401
1.274,628
1.284,375
1.295,648
1.305,348
1.315,670
1.325,324
1.336,667
1.345,309
1.356,685
1.366,292
1.377,700
1.387,293
1.397,690
1.407,288
1.417,673
1.428,279
1.438,664
1.448,301
1.459,641
1.469,312
1.479,615
1.489,318
1.5,584
1.511,330
1.52,537
1.53,365
1.541,522
1.551,382
1.561,476
1.571,413
1.582,420
1.593,438
1.602,377
1.613,471
1.623,354
1.633,506
1.644,328
1.654,559
1.664,321
1.674,605
1.684,324
1.695,641
1.705,304
1.715,675
1.725,282
1.736,675
1.746,258
1.756,670
1.766,250
1.777,671
1.787,267
1.798,686
1.808,296
1.818,705
1.828,336
1.839,724
1.849,379
1.859,719
1.869,409
1.88,695
1.89,440
1.9,671
1.911,474
1.921,642
1.931,515
1.941,628
1.952,565
1.963,587
1.973,597
1.983,549
1.993,627
2.003,530
2.013,684
2.024,525
2.034,751
2.044,536
2.054,771
2.065,525
2.075,818
2.085,482
2.095,803
2.106,422
2.116,781
2.126,392
2.136,760
2.147,369
2.158,754
2.167,338
2.177,727
2.188,334
2.198,714
2.209,346
2.219,688
2.229,351
2.239,668
2.249,359
2.26,632
2.27,386
2.28,614
2.29,405
2.301,580
2.311,453
2.321,556
2.332,471
2.342,520
2.352,504
2.362,477
2.373,537
2.383,434
2.393,563
2.403,402
2.414,585
2.424,374
2.434,614
2.445,330
2.455,643
2.465,308
2.475,647
2.486,301
2.495,657
2.506,278
2.516,665
2.527,269
2.537,663
2.547,271
2.557,662
2.568,280
2.578,676
2.588,305
2.598,664
2.609,324
2.619,660
2.629,347
2.64,633
2.65,373
2.66,620
2.67,412
2.681,586
2.691,449
2.701,574
2.711,475
2.722,532
2.732,517
2.742,492
2.753,535
2.763,455
2.772,575
2.783,421
2.794,611
2.804,417
2.814,635
2.824,373
2.835,646
2.845,355
2.855,703
2.866,367
2.876,735
2.886,457
2.896,958
2.906,662
2.917,1017
2.927,784
2.937,1017
2.948,588
2.958,902
2.968,461
2.979,798
2.989,408
2.999,704
