Timestamp,Sensor Data
0.0,721
0.01,380
0.021,735
0.031,355
0.041,721
0.051,335
0.062,715
0.071,320
0.082,695
0.092,300
0.102,688
0.113,311
0.123,664
0.134,324
0.144,647
0.155,344
0.164,627
0.174,375
0.185,605
0.195,404
0.205,582
0.216,444
0.226,578
0.236,498
0.246,543
0.257,512
0.267,508
0.277,550
0.287,472
0.298,581
0.308,435
0.318,616
0.328,410
0.338,643
0.349,378
0.359,671
0.369,362
0.38,685
0.39,340
0.401,701
0.411,328
0.422,707
0.431,330
0.441,725
0.452,330
0.462,726
0.472,337
0.482,723
0.493,357
0.503,706
0.513,359
0.524,695
0.534,381
0.544,671
0.554,399
0.565,651
0.575,436
0.585,631
0.596,469
0.606,603
0.616,491
0.627,568
0.637,529
0.647,524
0.657,551
0.667,483
0.678,577
0.687,445
0.698,607
0.709,409
0.718,624
0.729,371
0.739,642
0.75,354
0.759,669
0.77,337
0.78,686
0.79,318
0.8,694
0.811,291
0.82,695
0.831,287
0.841,686
0.852,287
0.862,684
0.872,300
0.882,674
0.893,308
0.903,651
0.913,324
0.924,631
0.934,354
0.944,620
0.954,398
0.965,603
0.975,427
0.985,579
0.995,469
1.005,546
1.016,505
1.026,504
1.036,540
1.047,481
1.058,576
1.068,439
1.078,613
1.088,424
1.099,639
1.109,399
1.119,679
1.129,386
1.14,707
1.149,364
1.16,726
1.17,362
1.18,751
1.19,347
1.201,744
1.211,336
1.221,732
1.232,326
1.242,710
1.252,331
1.262,695
1.273,321
1.283,657
1.294,344
1.304,655
1.314,364
1.324,636
1.334,399
1.345,616
1.355,440
1.365,594
1.375,474
1.386,557
1.396,504
1.406,521
1.417,532
1.427,484
1.437,567
1.447,443
1.458,599
1.468,424
1.478,627
1.488,393
1.499,648
1.509,361
1.519,668
1.53,328
1.54,672
1.55,308
1.56,674
1.57,289
1.582,678
1.592,280
1.602,687
1.612,291
1.623,697
1.633,304
1.643,687
1.653,320
1.664,706
1.674,384
1.684,710
1.695,411
1.705,682
1.715,415
1.725,653
1.736,452
1.746,616
1.756,485
1.766,577
1.776,503
1.787,535
1.796,529
1.807,489
1.818,563
1.828,456
1.839,589
1.848,423
1.858,620
1.869,390
1.879,645
1.889,363
1.9,655
1.91,344
1.92,684
1.931,326
1.941,692
1.951,308
1.961,696
1.972,306
1.982,697
1.992,301
2.002,701
2.013,307
2.022,691
2.033,318
2.044,671
2.053,328
2.064,666
2.075,361
2.085,650
2.095,399
2.106,630
2.115,412
2.126,596
2.136,444
2.146,549
2.156,467
2.166,507
2.177,496
2.188,469
2.198,521
2.208,439
2.218,555
2.228,411
2.239,590
2.249,389
2.259,619
2.269,357
2.28,645
2.289,337
2.3,656
2.311,316
2.321,670
2.331,304
2.341,682
2.352,288
2.362,669
2.373,279
2.383,668
2.393,291
2.403,669
2.413,302
2.423,654
2.434,314
2.444,639
2.454,348
2.464,631
2.475,374
2.485,607
2.495,412
2.505,606
2.516,465
2.526,575
2.536,470
2.547,538
2.556,510
2.567,513
2.577,566
2.588,504
2.598,609
2.608,474
2.619,625
2.629,426
2.639,636
2.65,402
2.66,654
2.67,356
2.68,646
2.69,326
2.701,667
2.711,310
2.721,670
2.731,318
2.741,683
2.752,321
2.762,690
2.772,330
2.782,691
2.792,345
2.803,686
2.813,357
2.824,672
2.834,383
2.844,670
2.855,425
2.865,661
2.875,453
2.885,634
2.895,472
2.906,597
2.916,516
2.927,577
2.937,547
2.947,549
2.957,576
2.968,514
2.978,594
2.988,472
2.998,616
