Timestamp,Sensor Data
0.0,611
0.01,423
0.02,615
0.031,416
0.041,613
0.051,409
0.062,609
0.072,417
0.082,609
0.093,430
0.103,611
0.113,438
0.123,595
0.133,457
0.143,579
0.154,454
0.164,579
0.175,472
0.185,566
0.195,485
0.206,540
0.216,511
0.227,521
0.236,519
0.247,509
0.257,518
0.267,491
0.277,551
0.288,472
0.298,556
0.308,454
0.319,566
0.329,427
0.339,577
0.35,416
0.36,573
0.37,410
0.38,583
0.39,395
0.401,585
0.411,395
0.421,593
0.431,389
0.442,593
0.452,406
0.462,584
0.472,403
0.483,583
0.492,414
0.502,581
0.513,434
0.526,579
0.534,446
0.543,563
0.555,458
0.565,553
0.575,476
0.586,540
0.595,491
0.606,529
0.616,509
0.627,516
0.637,541
0.647,502
0.657,538
0.668,482
0.677,554
0.688,461
0.698,562
0.708,439
0.718,580
0.729,432
0.739,582
0.75,421
0.76,589
0.77,427
0.78,601
0.791,411
0.801,605
0.811,407
0.821,603
0.832,419
0.842,596
0.852,422
0.863,599
0.873,421
0.883,602
0.894,428
0.903,591
0.914,445
0.924,577
0.935,460
0.945,581
0.955,476
0.965,566
0.976,494
0.986,547
0.996,517
1.006,527
1.016,523
1.026,513
1.036,536
1.046,495
1.056,557
1.068,487
1.077,559
1.088,468
1.098,581
1.109,439
1.119,590
1.129,433
1.14,599
1.15,426
1.16,596
1.171,418
1.181,593
1.191,414
1.201,596
1.212,403
1.222,603
1.232,417
1.243,590
1.253,414
1.263,595
1.273,421
1.284,576
1.294,426
1.304,579
1.314,446
1.325,556
1.335,475
1.345,552
1.355,480
1.366,551
1.376,499
1.386,523
1.396,511
1.407,521
1.417,522
1.428,488
1.438,543
1.448,478
1.459,545
1.468,465
1.478,568
1.488,443
1.498,571
1.509,447
1.519,580
1.529,421
1.54,584
1.55,418
1.56,584
1.571,407
1.581,590
1.591,413
1.601,587
1.611,403
1.622,582
1.633,414
1.643,589
1.653,415
1.664,578
1.674,427
1.684,574
1.694,441
1.705,575
1.715,454
1.725,556
1.736,475
1.746,548
1.756,487
1.766,538
1.777,490
1.787,524
1.797,527
1.807,519
1.818,537
1.828,490
1.838,549
1.848,468
1.859,557
1.869,458
1.879,581
1.89,453
1.9,580
1.91,445
1.92,591
1.93,430
1.941,598
1.951,421
1.961,596
1.972,403
1.982,599
1.992,410
2.002,586
2.013,422
2.023,580
2.033,404
2.044,593
2.054,426
2.064,571
2.074,426
2.085,560
2.095,444
2.105,560
2.115,456
2.126,552
2.136,477
2.146,529
2.156,493
2.167,520
2.178,501
2.187,497
2.197,505
2.208,489
2.218,530
2.229,469
2.239,546
2.249,452
2.259,564
2.27,437
2.28,566
2.29,423
2.3,582
2.311,412
2.321,592
2.331,421
2.341,594
2.352,416
2.362,596
2.372,400
2.382,608
2.393,418
2.403,592
2.413,416
2.424,594
2.434,419
2.445,587
2.454,432
2.464,584
2.475,443
2.485,565
2.496,461
2.506,567
2.516,473
2.526,548
2.536,492
2.547,530
2.557,498
2.567,509
2.578,515
2.587,499
2.598,527
2.608,484
2.619,546
2.628,456
2.639,541
2.649,443
2.66,557
2.67,434
2.68,565
2.69,422
2.701,579
2.712,412
2.721,575
2.732,404
2.742,573
2.752,407
2.762,588
2.773,392
2.783,592
2.793,396
2.803,588
2.814,414
2.824,589
2.834,419
2.845,581
2.855,445
2.865,582
2.875,456
2.886,563
2.896,463
2.906,565
2.917,500
2.927,551
2.936,506
2.948,526
2.958,516
2.968,511
2.978,529
2.988,492
2.999,536
