Timestamp,Sensor Data
0.0,459
0.01,661
0.02,475
0.031,649
0.041,487
0.051,628
0.062,504
0.072,589
0.082,535
0.092,579
0.103,597
0.113,532
0.123,620
0.133,501
0.144,638
0.154,470
0.164,656
0.174,447
0.185,654
0.195,422
0.205,707
0.216,420
0.226,707
0.236,411
0.246,715
0.257,400
0.267,723
0.277,403
0.287,720
0.298,415
0.308,706
0.318,421
0.328,710
0.339,435
0.349,704
0.36,445
0.369,685
0.38,458
0.39,661
0.4,468
0.411,658
0.421,511
0.431,628
0.441,528
0.452,587
0.462,554
0.472,557
0.482,580
0.493,506
0.503,604
0.513,493
0.524,629
0.533,453
0.543,635
0.555,427
0.565,629
0.575,415
0.585,664
0.596,393
0.606,674
0.616,358
0.626,693
0.637,342
0.647,690
0.657,356
0.667,690
0.678,352
0.688,700
0.698,371
0.708,686
0.719,379
0.729,681
0.739,387
0.75,643
0.76,400
0.77,667
0.78,441
0.79,638
0.801,476
0.811,603
0.821,511
0.832,582
0.842,542
0.852,567
0.862,565
0.874,530
0.882,585
0.893,487
0.904,617
0.914,462
0.924,609
0.934,427
0.944,619
0.955,395
0.965,670
0.975,384
0.986,705
0.996,359
1.006,720
1.017,336
1.027,712
1.037,342
1.047,673
1.057,348
1.067,705
1.077,332
1.088,720
1.098,359
1.109,688
1.119,375
1.13,667
1.14,381
1.149,660
1.159,437
1.17,636
1.18,452
1.19,619
1.2,486
1.211,580
1.221,531
1.231,554
1.242,552
1.253,545
1.262,581
1.273,505
1.284,587
1.294,481
1.304,639
1.314,451
1.324,660
1.335,424
1.345,679
1.355,406
1.366,692
1.376,393
1.386,682
1.396,375
1.407,724
1.417,380
1.427,724
1.438,373
1.448,715
1.458,371
1.468,712
1.479,365
1.489,692
1.499,381
1.509,697
1.52,423
1.53,672
1.54,442
1.55,661
1.561,480
1.571,638
1.581,497
1.592,611
1.602,512
1.612,587
1.622,542
1.633,550
1.643,576
1.653,510
1.663,598
1.674,436
1.684,618
1.694,431
1.705,623
1.715,402
1.725,669
1.735,379
1.746,675
1.756,361
1.766,669
1.777,345
1.787,680
1.797,336
1.809,658
1.818,336
1.827,699
1.837,333
1.847,675
1.858,334
1.868,673
1.879,338
1.889,667
1.9,370
1.91,636
1.92,399
1.93,639
1.941,419
1.951,620
1.961,465
1.972,604
1.981,498
1.991,577
2.002,526
2.012,550
2.023,569
2.033,518
2.043,586
2.054,473
2.064,616
2.075,456
2.085,636
2.095,421
2.105,617
2.115,374
2.125,645
2.136,338
2.146,684
2.157,315
2.166,716
2.177,291
2.187,737
2.198,274
2.208,725
2.218,291
2.229,759
2.238,287
2.249,754
2.259,306
2.269,749
2.279,317
2.29,735
2.3,335
2.31,717
2.321,370
2.331,680
2.342,414
2.351,661
2.362,455
2.372,626
2.382,492
2.392,588
2.403,538
2.413,530
2.423,571
2.434,506
2.444,620
2.454,467
2.464,616
2.475,439
2.485,686
2.495,376
2.506,700
2.516,352
2.526,736
2.536,303
2.546,737
2.557,303
2.567,754
2.577,282
2.587,769
2.598,280
2.609,760
2.618,276
2.628,761
2.639,287
2.649,744
2.66,288
2.67,743
2.68,325
2.69,726
2.7,363
2.711,708
2.721,411
2.731,671
2.742,435
2.752,649
2.762,479
2.772,599
2.783,521
2.792,554
2.803,560
2.814,522
2.824,597
2.834,476
2.844,635
2.854,427
2.865,668
2.876,386
2.885,691
2.895,330
2.906,718
2.916,315
2.926,731
2.937,287
2.947,740
2.957,283
2.968,757
2.977,271
2.988,764
2.998,257
