Timestamp,Sensor Data
0.0,4
0.01,1018
0.02,4
0.03,1018
0.041,4
0.051,1018
0.061,4
0.071,1018
0.082,4
0.092,1018
0.102,4
0.112,1017
0.123,4
0.132,1017
0.143,4
0.153,1017
0.164,4
0.174,1017
0.184,4
0.194,1017
0.205,15
0.215,994
0.225,47
0.236,929
0.246,107
0.256,819
0.266,200
0.276,699
0.287,317
0.297,553
0.307,476
0.318,421
0.328,650
0.338,280
0.349,832
0.359,153
0.369,1017
0.38,4
0.389,1018
0.4,4
0.41,1018
0.42,4
0.431,1018
0.441,4
0.451,1018
0.461,4
0.471,1018
0.482,4
0.491,1018
0.502,4
0.512,1017
0.523,4
0.532,1017
0.543,4
0.553,1017
0.564,4
0.574,1017
0.584,4
0.594,1017
0.605,12
0.615,999
0.625,48
0.635,937
0.646,94
0.656,837
0.666,184
0.676,724
0.687,308
0.697,584
0.707,461
0.718,435
0.728,643
0.738,289
0.749,822
0.759,156
0.769,1018
0.779,27
0.789,1018
0.8,4
0.81,1018
0.82,4
0.83,1018
0.841,4
0.851,1018
0.861,4
0.871,1018
0.882,4
0.892,1018
0.902,4
0.912,1018
0.923,4
0.933,1018
0.943,4
0.953,1017
0.964,4
0.974,1017
0.984,4
0.994,1017
1.005,14
1.014,997
1.025,41
1.034,934
1.045,101
1.056,826
1.066,180
1.076,696
1.086,312
1.097,556
1.106,460
1.117,411
1.128,643
1.137,279
1.148,826
1.158,136
1.168,1017
1.179,4
1.188,1018
1.2,4
1.21,1018
1.22,3
1.23,1018
1.241,4
1.251,1018
1.261,4
1.271,1018
1.282,4
1.292,1018
1.302,4
1.312,1017
1.323,4
1.333,1017
1.343,4
1.353,1018
1.364,4
1.374,1017
1.384,4
1.394,1017
1.405,9
1.415,1002
1.425,37
1.435,936
1.445,79
1.456,835
1.466,145
1.477,712
1.487,267
1.498,579
1.507,422
1.518,435
1.528,603
1.538,273
1.548,778
1.559,143
1.569,945
1.579,36
1.589,1017
1.6,4
1.61,1017
1.62,4
1.63,1018
1.641,4
1.651,1018
1.661,4
1.671,1018
1.681,4
1.692,1018
1.702,4
1.712,1017
1.723,4
1.733,1017
1.743,4
1.753,1017
1.765,4
1.774,1017
1.784,4
1.795,1017
1.805,11
1.815,1001
1.825,41
1.835,946
1.846,100
1.856,847
1.866,175
1.876,728
1.886,298
1.897,598
1.907,447
1.918,474
1.928,612
1.938,343
1.948,794
1.958,211
1.969,978
1.979,86
1.989,1018
2.0,4
2.01,1018
2.02,4
2.03,1018
2.041,4
2.051,1018
2.061,4
2.071,1017
2.081,4
2.092,1017
2.102,4
2.112,1018
2.123,4
2.133,1017
2.143,4
2.153,1017
2.164,4
2.174,1017
2.184,5
2.194,1017
2.205,24
2.215,1013
2.225,67
2.235,970
2.245,138
2.256,883
2.266,240
2.276,772
2.287,372
2.297,641
2.307,543
2.318,511
2.328,735
2.338,366
2.348,917
2.359,223
2.369,1018
2.379,75
2.389,1017
2.4,4
2.409,1018
2.42,4
2.43,1018
2.44,4
2.45,1018
2.461,4
2.471,1018
2.481,4
2.492,1018
2.503,4
2.512,1018
2.523,4
2.533,1017
2.543,4
2.553,1017
2.564,4
2.574,1017
2.584,4
2.594,1017
2.605,16
2.615,1005
2.625,59
2.636,946
2.646,115
2.656,842
2.666,205
2.677,716
2.687,331
2.697,580
2.707,498
2.718,449
2.728,673
2.738,303
2.749,855
2.759,162
2.769,1018
2.78,25
2.79,1018
2.8,4
2.81,1018
2.821,4
2.83,1018
2.841,4
2.851,1018
2.862,4
2.872,1018
2.882,4
2.892,1018
2.902,4
2.913,1018
2.923,4
2.933,1018
2.944,4
2.953,1017
2.964,4
2.974,1017
2.984,4
2.994,1017
