Timestamp,Sensor Data
0.0,4
0.01,1017
0.021,9
0.03,1017
0.041,25
0.051,1003
0.062,59
0.071,965
0.082,107
0.092,902
0.102,151
0.113,802
0.123,213
0.133,698
0.143,292
0.154,590
0.164,398
0.174,502
0.185,529
0.195,414
0.205,645
0.215,323
0.226,777
0.236,226
0.246,904
0.256,148
0.267,993
0.277,69
0.287,1017
0.298,6
0.308,1017
0.318,4
0.328,1017
0.338,4
0.348,1017
0.359,4
0.369,1017
0.38,4
0.39,1017
0.4,4
0.41,1017
0.421,13
0.431,1017
0.441,29
0.451,999
0.462,58
0.471,953
0.482,105
0.492,894
0.503,163
0.513,802
0.523,232
0.534,711
0.544,330
0.554,608
0.564,430
0.575,502
0.585,546
0.595,413
0.605,716
0.616,356
0.626,891
0.636,277
0.646,1017
0.657,177
0.666,1017
0.677,89
0.687,1017
0.697,15
0.707,1018
0.718,4
0.728,1017
0.739,4
0.749,1018
0.76,4
0.769,1017
0.78,4
0.79,1017
0.801,4
0.81,1017
0.821,8
0.831,1016
0.842,27
0.851,999
0.862,63
0.872,954
0.882,103
0.893,869
0.903,152
0.913,758
0.924,212
0.934,658
0.944,333
0.954,556
0.964,446
0.974,435
0.985,564
0.995,323
1.006,668
1.016,232
1.026,837
1.036,181
1.047,1002
1.056,92
1.066,1017
1.077,4
1.087,1017
1.097,4
1.107,1017
1.118,4
1.128,1017
1.138,4
1.149,1017
1.16,4
1.169,1017
1.18,4
1.19,1017
1.2,4
1.21,1017
1.221,6
1.231,1015
1.241,21
1.252,986
1.262,52
1.272,935
1.283,94
1.292,877
1.303,160
1.313,798
1.323,244
1.334,691
1.344,329
1.354,567
1.365,420
1.374,441
1.385,541
1.395,350
1.405,691
1.416,271
1.427,820
1.436,165
1.447,939
1.457,108
1.467,1018
1.477,41
1.488,1017
1.498,4
1.508,1017
1.519,4
1.528,1017
1.539,4
1.549,1017
1.559,4
1.57,1017
1.58,4
1.59,1017
1.601,4
1.611,1017
1.621,10
1.631,1015
1.642,40
1.652,990
1.662,81
1.672,946
1.683,121
1.693,859
1.703,187
1.713,753
1.723,266
1.734,648
1.745,369
1.755,544
1.765,490
1.775,433
1.785,609
1.796,315
1.806,710
1.816,206
1.826,836
1.837,135
1.847,984
1.857,60
1.868,1017
1.878,4
1.888,1018
1.898,4
1.908,1017
1.918,4
1.928,1018
1.939,4
1.949,1017
1.96,4
1.97,1017
1.98,4
1.99,1017
2.001,4
2.011,1017
2.021,7
2.031,1007
2.042,20
2.052,967
2.062,50
2.073,920
2.083,104
2.093,841
2.103,158
2.114,753
2.124,243
2.134,657
2.145,336
2.155,555
2.165,451
2.175,455
2.186,576
2.196,364
2.206,745
2.216,309
2.226,903
2.237,226
2.246,1016
2.257,133
2.268,1017
2.279,59
2.288,1017
2.299,11
2.308,1017
2.319,4
2.329,1017
2.34,4
2.35,1017
2.36,4
2.37,1017
2.381,4
2.391,1017
2.401,10
2.411,1017
2.422,32
2.432,1013
2.442,78
2.453,982
2.462,110
2.473,905
2.483,156
2.493,812
2.504,240
2.514,718
2.524,339
2.534,611
2.545,453
2.555,490
2.566,581
2.576,396
2.586,712
2.596,294
2.607,828
2.617,187
2.627,942
2.637,97
2.647,1017
2.658,29
2.668,1017
2.679,4
2.688,1018
2.699,4
2.708,1017
2.719,4
2.729,1017
2.739,4
2.749,1017
2.76,4
2.771,1017
2.781,4
2.79,1017
2.802,6
2.811,1016
2.822,19
2.832,999
2.842,50
2.853,955
2.863,91
2.873,885
2.883,144
2.894,788
2.904,220
2.915,685
2.924,316
2.935,581
2.945,438
2.955,476
2.966,561
2.975,371
2.985,684
2.996,271
