Timestamp,Sensor Data
0.0,440
0.01,561
0.02,455
0.031,557
0.04,471
0.051,551
0.061,482
0.072,537
0.082,491
0.092,521
0.103,507
0.113,516
0.123,524
0.133,504
0.144,536
0.154,486
0.164,542
0.174,473
0.185,546
0.195,457
0.205,552
0.215,452
0.226,567
0.236,440
0.246,566
0.257,433
0.267,574
0.277,424
0.288,576
0.298,421
0.308,572
0.318,423
0.328,575
0.338,431
0.348,579
0.359,440
0.37,573
0.38,450
0.39,571
0.4,459
0.411,556
0.42,470
0.431,550
0.441,483
0.452,538
0.462,492
0.472,527
0.483,507
0.493,509
0.503,518
0.513,504
0.524,536
0.534,490
0.544,544
0.554,479
0.564,561
0.575,465
0.585,559
0.596,458
0.606,568
0.616,440
0.626,572
0.636,439
0.647,579
0.657,434
0.667,577
0.678,430
0.688,578
0.698,430
0.708,583
0.719,435
0.729,579
0.739,444
0.75,573
0.76,447
0.77,562
0.78,452
0.791,553
0.801,466
0.811,544
0.821,478
0.832,544
0.842,497
0.852,524
0.862,498
0.873,507
0.883,515
0.893,496
0.904,524
0.913,486
0.923,537
0.934,471
0.945,550
0.955,464
0.965,553
0.975,447
0.986,558
0.996,431
1.006,568
1.016,435
1.027,574
1.037,431
1.047,572
1.056,418
1.067,572
1.077,425
1.088,576
1.098,434
1.109,578
1.119,433
1.129,567
1.139,438
1.15,561
1.16,452
1.17,560
1.181,472
1.191,551
1.201,485
1.211,541
1.221,498
1.232,530
1.242,511
1.252,522
1.262,520
1.273,504
1.283,533
1.293,490
1.304,546
1.314,478
1.324,551
1.334,460
1.345,561
1.355,455
1.365,570
1.375,451
1.386,579
1.396,446
1.406,584
1.416,437
1.426,588
1.437,436
1.447,591
1.457,435
1.467,583
1.478,433
1.488,576
1.499,439
1.509,572
1.519,440
1.53,564
1.54,456
1.55,560
1.561,467
1.571,547
1.581,478
1.591,534
1.601,487
1.611,525
1.621,495
1.632,512
1.642,505
1.652,494
1.663,517
1.673,480
1.683,528
1.693,464
1.703,535
1.714,449
1.724,546
1.734,438
1.745,551
1.755,426
1.765,560
1.776,423
1.787,566
1.797,415
1.807,569
1.817,420
1.828,565
1.838,410
1.848,562
1.858,416
1.869,570
1.879,426
1.889,565
1.9,435
1.91,558
1.92,443
1.93,552
1.94,453
1.951,547
1.961,468
1.971,533
1.982,488
1.992,523
2.002,501
2.013,507
2.023,506
2.033,502
2.043,526
2.054,481
2.064,539
2.074,477
2.085,549
2.095,460
2.105,559
2.115,445
2.125,560
2.136,447
2.146,577
2.156,442
2.167,580
2.177,436
2.187,581
2.197,428
2.208,580
2.218,428
2.228,589
2.238,439
2.249,584
2.259,443
2.269,583
2.279,454
2.29,582
2.299,460
2.31,570
2.321,470
2.33,556
2.341,488
2.351,550
2.362,497
2.372,538
2.382,509
2.393,525
2.403,518
2.413,506
2.423,527
2.434,494
2.444,537
2.454,476
2.464,541
2.475,464
2.485,557
2.495,453
2.506,563
2.516,442
2.526,572
2.536,434
2.547,572
2.557,433
2.567,577
2.577,434
2.588,583
2.598,428
2.609,583
2.618,428
2.628,576
2.639,440
2.649,573
2.659,447
2.67,564
2.68,452
2.689,569
2.701,461
2.711,553
2.721,473
2.731,544
2.742,486
2.752,545
2.761,504
2.773,521
2.783,512
2.793,509
2.803,529
2.814,496
2.824,536
2.834,481
2.845,554
2.855,472
2.865,560
2.876,464
2.885,571
2.896,449
2.906,572
2.916,439
2.926,574
2.937,434
2.947,580
2.957,430
2.968,581
2.978,432
2.988,580
2.998,429
