Timestamp,Sensor Data
0.0,561
0.01,492
0.02,569
0.031,482
0.042,580
0.051,466
0.062,587
0.072,440
0.082,592
0.092,437
0.103,598
0.113,429
0.123,593
0.133,423
0.143,589
0.154,413
0.164,588
0.175,399
0.184,594
0.195,437
0.205,591
0.215,437
0.225,576
0.236,437
0.246,563
0.256,452
0.267,557
0.277,467
0.287,553
0.297,468
0.308,537
0.318,495
0.328,518
0.338,507
0.349,502
0.359,515
0.37,480
0.38,550
0.39,481
0.4,547
0.41,462
0.421,566
0.431,451
0.442,572
0.451,433
0.462,580
0.472,420
0.483,576
0.492,425
0.503,583
0.513,422
0.523,592
0.533,422
0.543,594
0.555,425
0.565,592
0.575,421
0.586,589
0.596,432
0.606,582
0.616,449
0.626,585
0.637,463
0.647,570
0.657,475
0.667,565
0.678,487
0.688,554
0.698,495
0.709,552
0.719,526
0.729,524
0.739,541
0.749,510
0.759,543
0.77,502
0.78,567
0.79,474
0.801,575
0.811,468
0.822,577
0.832,443
0.842,574
0.852,442
0.863,581
0.873,428
0.883,592
0.893,425
0.903,591
0.914,421
0.924,586
0.934,390
0.944,594
0.955,432
0.965,586
0.976,433
0.986,578
0.996,432
1.007,565
1.016,449
1.027,579
1.037,474
1.047,556
1.057,481
1.067,543
1.077,495
1.087,527
1.098,493
1.109,517
1.118,524
1.129,486
1.139,541
1.15,482
1.16,548
1.171,463
1.18,564
1.19,459
1.201,558
1.211,447
1.221,578
1.233,431
1.242,576
1.253,421
1.263,573
1.273,422
1.284,595
1.294,410
1.304,590
1.314,417
1.325,588
1.335,421
1.345,581
1.356,429
1.366,584
1.376,442
1.387,573
1.397,444
1.406,561
1.417,455
1.427,560
1.438,484
1.448,551
1.458,501
1.469,540
1.479,516
1.489,525
1.499,536
1.509,509
1.52,544
1.53,493
1.54,561
1.551,489
1.561,556
1.571,476
1.582,576
1.592,461
1.601,588
1.612,445
1.622,595
1.632,430
1.642,608
1.653,428
1.663,589
1.674,432
1.684,603
1.694,430
1.705,593
1.715,435
1.725,594
1.735,427
1.746,571
1.756,451
1.766,576
1.777,451
1.787,567
1.797,468
1.807,558
1.818,479
1.828,548
1.838,490
1.848,522
1.859,510
1.869,519
1.879,516
1.89,498
1.9,531
1.91,486
1.921,530
1.931,472
1.94,559
1.951,459
1.961,556
1.971,450
1.982,564
1.992,439
2.003,584
2.013,426
2.022,586
2.033,422
2.043,591
2.054,416
2.064,584
2.074,411
2.085,562
2.095,428
2.105,586
2.115,427
2.126,576
2.136,433
2.146,569
2.156,447
2.166,567
2.177,469
2.187,570
2.198,481
2.208,549
2.218,499
2.228,541
2.238,506
2.248,520
2.259,524
2.269,516
2.279,514
2.29,505
2.3,555
2.31,479
2.321,562
2.331,475
2.341,561
2.351,466
2.361,582
2.371,445
2.382,587
2.392,434
2.402,589
2.413,428
2.422,589
2.433,420
2.443,591
2.455,394
2.464,606
2.474,425
2.485,592
2.496,433
2.506,579
2.516,427
2.526,572
2.537,436
2.547,557
2.557,457
2.567,528
2.578,478
2.588,544
2.598,477
2.608,531
2.618,494
2.629,512
2.639,500
2.649,500
2.66,518
2.67,474
2.68,539
2.691,465
2.701,535
2.71,446
2.721,547
2.731,442
2.741,557
2.752,422
2.762,566
2.772,422
2.783,570
2.793,411
2.803,576
2.814,412
2.824,571
2.834,432
2.844,593
2.855,413
2.865,585
2.875,418
2.885,575
2.895,412
2.906,577
2.916,427
2.926,573
2.936,457
2.946,560
2.957,465
2.967,550
2.977,481
2.987,544
2.998,492
