Timestamp,Sensor Data
0.0,4
0.009,1017
0.02,4
0.03,1017
0.041,4
0.051,1017
0.061,4
0.071,1017
0.082,11
0.092,1008
0.102,46
0.112,960
0.122,101
0.133,858
0.143,158
0.154,734
0.164,287
0.174,602
0.185,454
0.194,468
0.205,613
0.215,340
0.225,803
0.236,191
0.246,986
0.255,75
0.266,1018
0.277,4
0.287,1018
0.297,4
0.307,1018
0.317,4
0.328,1018
0.338,4
0.348,1018
0.358,4
0.369,1018
0.379,4
0.389,1017
0.4,4
0.41,1018
0.42,4
0.43,1017
0.441,4
0.45,1017
0.461,4
0.471,1017
0.481,13
0.492,1011
0.502,49
0.512,951
0.522,109
0.532,857
0.543,204
0.553,733
0.564,329
0.574,600
0.584,481
0.595,454
0.605,644
0.615,337
0.625,830
0.636,177
0.646,1018
0.657,60
0.666,1018
0.677,4
0.687,1018
0.697,4
0.707,1018
0.718,4
0.728,1018
0.738,4
0.748,1018
0.758,4
0.769,1018
0.779,4
0.789,1018
0.8,4
0.81,1018
0.82,4
0.83,1017
0.841,4
0.851,1017
0.862,5
0.871,1017
0.882,23
0.892,998
0.902,59
0.912,930
0.922,127
0.933,831
0.943,194
0.954,707
0.964,323
0.974,568
0.984,489
0.995,450
1.004,676
1.014,298
1.025,846
1.036,160
1.046,1018
1.056,25
1.066,1018
1.077,4
1.086,1018
1.097,4
1.107,1018
1.117,4
1.127,1018
1.138,645
1.147,1018
1.159,419
1.169,1018
1.179,265
1.189,1017
1.199,189
1.209,1017
1.219,139
1.231,1018
1.241,140
1.251,1017
1.261,174
1.271,1009
1.281,228
1.292,947
1.303,275
1.313,847
1.323,349
1.334,725
1.344,457
1.354,589
1.364,568
1.375,450
1.385,678
1.396,303
1.406,808
1.416,164
1.426,969
1.436,30
1.446,1018
1.457,4
1.467,1017
1.478,4
1.487,1018
1.498,4
1.508,1017
1.518,4
1.529,1017
1.54,4
1.549,1017
1.559,4
1.569,1017
1.58,4
1.59,1017
1.601,4
1.611,1017
1.621,4
1.631,1008
1.642,4
1.652,969
1.661,17
1.672,891
1.683,45
1.693,808
1.703,101
1.713,680
1.722,180
1.734,565
1.743,295
1.754,439
1.765,435
1.775,309
1.785,592
1.795,194
1.805,726
1.816,90
1.826,885
1.836,4
1.846,1017
1.857,4
1.867,1017
1.877,4
1.887,1018
1.898,4
1.908,1017
1.918,4
1.928,1017
1.939,4
1.948,1018
1.959,4
1.969,1017
1.98,4
1.99,1017
2.0,4
2.01,1017
2.021,4
2.031,1016
2.041,5
2.051,987
2.062,14
2.072,928
2.082,50
2.092,855
2.103,83
2.113,776
2.123,192
2.133,621
2.144,283
2.154,531
2.164,409
2.174,428
2.185,567
2.195,334
2.205,755
2.216,231
2.226,930
2.236,148
2.246,1017
2.257,40
2.267,1017
2.277,4
2.287,1018
2.298,4
2.307,1017
2.318,4
2.328,1018
2.338,4
2.349,1017
2.359,4
2.369,1017
2.379,4
2.39,1017
2.4,4
2.41,1017
2.421,4
2.432,1017
2.441,8
2.451,1005
2.462,23
2.472,945
2.482,69
2.492,851
2.503,130
2.513,763
2.523,224
2.534,648
2.544,332
2.554,527
2.564,465
2.574,403
2.585,634
2.595,284
2.605,757
2.615,201
2.625,928
2.636,85
2.646,1018
2.656,7
2.667,1017
2.677,4
2.687,1018
2.698,4
2.708,1018
2.718,4
2.728,1018
2.739,4
2.749,1017
2.759,4
2.769,1017
2.78,4
2.79,1017
2.8,4
2.81,1017
2.821,4
2.831,1017
2.841,5
2.851,1012
2.862,24
2.872,974
2.883,63
2.893,894
2.903,124
2.913,777
2.924,223
2.934,644
2.943,344
2.954,489
2.964,486
2.975,342
2.985,678
2.995,231
