Timestamp,Sensor Data
0.0,771
0.011,91
0.021,678
0.031,159
0.041,704
0.051,309
0.062,633
0.072,308
0.082,456
0.092,366
0.103,417
0.113,494
0.123,365
0.133,572
0.144,208
0.154,505
0.164,67
0.174,529
0.185,4
0.195,361
0.205,4
0.215,532
0.226,4
0.236,633
0.246,4
0.256,727
0.266,7
0.276,807
0.287,41
0.297,870
0.307,73
0.317,901
0.327,95
0.338,918
0.348,133
0.359,919
0.369,169
0.38,894
0.39,195
0.4,847
0.41,230
0.42,790
0.431,274
0.441,726
0.451,318
0.461,656
0.472,385
0.481,593
0.491,457
0.502,526
0.512,518
0.523,451
0.534,583
0.543,389
0.553,653
0.564,339
0.574,727
0.585,284
0.595,793
0.605,244
0.615,849
0.626,210
0.636,914
0.646,293
0.657,1017
0.667,431
0.677,1017
0.687,321
0.699,1017
0.708,219
0.718,1015
0.729,50
0.739,691
0.749,36
0.759,771
0.769,118
0.78,776
0.79,188
0.801,747
0.811,248
0.821,693
0.831,314
0.842,640
0.852,380
0.862,574
0.872,445
0.883,505
0.893,509
0.903,442
0.913,580
0.923,378
0.934,638
0.944,327
0.955,727
0.965,329
0.975,832
0.985,231
0.996,856
1.006,289
1.016,1017
1.026,148
1.035,881
1.046,139
1.057,928
1.067,160
1.077,954
1.088,168
1.098,946
1.108,180
1.119,927
1.129,205
1.14,893
1.15,231
1.16,851
1.17,323
1.18,947
1.19,614
1.201,939
1.212,659
1.222,894
1.232,782
1.242,858
1.252,856
1.263,723
1.273,811
1.283,597
1.293,852
1.304,490
1.314,860
1.324,326
1.334,869
1.345,255
1.355,889
1.365,94
1.375,888
1.386,63
1.395,996
1.406,109
1.417,1017
1.427,56
1.437,1017
1.447,74
1.457,1017
1.468,92
1.478,1017
1.489,69
1.499,1010
1.509,115
1.519,984
1.53,145
1.54,932
1.55,171
1.56,861
1.571,220
1.581,778
1.591,266
1.601,666
1.611,320
1.622,545
1.632,384
1.643,446
1.653,472
1.663,338
1.673,551
1.684,226
1.694,618
1.704,141
1.714,719
1.724,78
1.735,792
1.745,4
1.755,836
1.766,4
1.775,864
1.786,4
1.796,900
1.807,4
1.817,900
1.827,4
1.837,903
1.847,4
1.857,862
1.868,4
1.878,897
1.888,4
1.898,778
1.909,4
1.919,693
1.929,4
1.939,675
1.95,12
1.96,725
1.97,127
1.98,817
1.992,166
2.001,641
2.011,190
2.022,645
2.031,351
2.042,543
2.052,320
2.062,445
2.073,564
2.083,511
2.093,702
2.103,444
2.114,812
2.124,401
2.134,922
2.145,333
2.155,943
2.165,221
2.175,1004
2.186,214
2.196,1017
2.207,178
2.217,1017
2.227,146
2.237,1017
2.247,112
2.258,1017
2.268,90
2.278,1013
2.289,82
2.299,993
2.309,129
2.32,957
2.33,139
2.34,894
2.35,182
2.36,834
2.371,271
2.381,795
2.391,366
2.402,706
2.412,435
2.422,616
2.433,488
2.443,504
2.453,576
2.463,422
2.474,659
2.484,321
2.494,726
2.504,224
2.514,784
2.525,148
2.535,885
2.545,124
2.555,970
2.566,76
2.576,1015
2.587,39
2.597,1017
2.607,16
2.617,1017
2.628,41
2.638,1017
2.648,73
2.658,1017
2.669,96
2.679,1005
2.689,86
2.699,968
2.71,128
2.72,915
2.73,156
2.741,833
2.751,184
2.761,731
2.772,231
2.782,633
2.792,302
2.802,530
2.812,364
2.822,400
2.833,420
2.843,277
2.853,488
2.864,177
2.873,576
2.883,85
2.894,670
2.904,47
2.915,762
2.925,11
2.935,910
2.946,81
2.956,1017
2.967,19
2.977,1017
2.987,4
2.997,930
