Timestamp,Sensor Data
0.0,598
0.01,404
0.02,612
0.031,407
0.041,598
0.051,400
0.062,605
0.072,417
0.083,605
0.093,428
0.103,589
0.114,437
0.123,586
0.134,441
0.144,581
0.154,450
0.164,572
0.175,489
0.185,553
0.195,481
0.205,531
0.216,497
0.226,512
0.236,524
0.247,473
0.256,545
0.267,470
0.277,545
0.288,466
0.298,551
0.308,449
0.318,575
0.328,440
0.339,574
0.349,417
0.359,590
0.37,398
0.38,575
0.39,404
0.4,585
0.411,395
0.421,591
0.432,394
0.442,583
0.452,388
0.462,580
0.472,397
0.483,571
0.493,417
0.503,571
0.513,439
0.523,568
0.533,465
0.544,573
0.555,480
0.565,554
0.575,495
0.585,544
0.596,504
0.606,520
0.616,517
0.627,509
0.637,540
0.647,483
0.657,551
0.668,475
0.678,574
0.688,462
0.698,583
0.709,449
0.719,577
0.729,418
0.739,605
0.75,428
0.76,607
0.771,425
0.781,602
0.791,406
0.801,608
0.811,406
0.821,604
0.832,389
0.842,600
0.852,426
0.862,599
0.873,421
0.883,595
0.893,434
0.903,576
0.914,450
0.924,569
0.934,458
0.945,564
0.955,488
0.965,540
0.975,492
0.986,511
0.996,506
1.006,504
1.016,533
1.026,487
1.037,521
1.047,468
1.057,546
1.068,448
1.078,559
1.088,432
1.099,565
1.108,418
1.119,581
1.129,415
1.14,584
1.15,400
1.16,589
1.17,394
1.181,591
1.191,397
1.201,592
1.211,404
1.222,588
1.232,401
1.243,594
1.253,409
1.263,564
1.273,427
1.284,564
1.294,444
1.304,570
1.314,452
1.325,547
1.335,473
1.345,532
1.355,490
1.366,532
1.376,504
1.386,510
1.396,518
1.407,494
1.417,527
1.427,472
1.438,543
1.448,462
1.458,568
1.468,451
1.478,587
1.489,445
1.499,583
1.509,431
1.52,593
1.53,423
1.54,591
1.551,423
1.561,605
1.571,398
1.581,603
1.592,409
1.602,584
1.612,411
1.622,583
1.633,416
1.643,586
1.653,418
1.663,569
1.674,431
1.684,555
1.694,439
1.705,555
1.714,476
1.724,547
1.735,472
1.746,519
1.755,484
1.767,501
1.777,497
1.787,491
1.797,517
1.808,470
1.818,547
1.828,464
1.838,554
1.848,437
1.858,565
1.868,430
1.879,579
1.889,426
1.899,588
1.91,406
1.92,586
1.931,393
1.941,578
1.951,398
1.961,577
1.972,385
1.982,586
1.992,391
2.003,576
2.013,385
2.023,574
2.033,420
2.044,571
2.054,431
2.064,564
2.075,447
2.085,558
2.095,456
2.105,539
2.115,483
2.126,543
2.136,506
2.146,522
2.156,515
2.166,497
2.177,519
2.187,467
2.198,543
2.208,460
2.218,549
2.228,434
2.239,559
2.248,441
2.259,575
2.269,432
2.28,570
2.29,424
2.3,601
2.311,411
2.321,609
2.331,410
2.341,597
2.351,417
2.362,608
2.371,426
2.382,606
2.393,436
2.403,612
2.413,441
2.423,594
2.434,454
2.444,603
2.455,475
2.465,575
2.475,479
2.485,565
2.496,489
2.506,545
2.516,497
2.526,516
2.537,512
2.547,526
2.557,543
2.567,518
2.578,546
2.588,481
2.598,553
2.609,457
2.619,556
2.629,443
2.639,573
2.649,414
2.659,568
2.669,400
2.679,585
2.691,383
2.701,567
2.711,365
2.721,558
2.731,364
2.742,575
2.752,359
2.762,566
2.773,377
2.783,553
2.793,377
2.804,545
2.814,373
2.824,522
2.834,383
2.845,492
2.855,396
2.865,502
2.876,424
2.886,493
2.896,448
2.906,489
2.917,475
2.926,486
2.937,493
2.947,475
2.957,521
2.968,467
2.978,521
2.989,439
2.999,543
