Timestamp,Sensor Data
0.0,578
0.01,412
0.02,591
0.031,443
0.041,597
0.051,484
0.061,583
0.072,508
0.082,559
0.092,523
0.102,531
0.113,542
0.123,516
0.133,559
0.144,496
0.154,573
0.164,484
0.175,596
0.185,471
0.195,632
0.205,454
0.215,634
0.226,432
0.236,632
0.246,426
0.256,650
0.267,417
0.277,656
0.287,399
0.298,641
0.308,401
0.318,632
0.328,391
0.339,622
0.349,398
0.359,616
0.37,423
0.38,631
0.39,439
0.4,611
0.41,450
0.421,605
0.431,466
0.441,581
0.452,472
0.462,545
0.472,476
0.482,511
0.492,499
0.502,485
0.512,513
0.523,462
0.534,520
0.544,442
0.554,535
0.565,418
0.576,545
0.585,396
0.595,547
0.606,369
0.616,583
0.626,364
0.636,570
0.646,371
0.656,590
0.667,371
0.677,573
0.688,376
0.698,579
0.709,355
0.719,563
0.729,376
0.74,569
0.749,384
0.76,570
0.77,409
0.78,563
0.791,428
0.801,565
0.811,450
0.821,558
0.831,461
0.842,550
0.852,500
0.862,533
0.873,517
0.883,509
0.893,522
0.904,474
0.913,539
0.924,461
0.934,549
0.944,460
0.955,571
0.965,441
0.975,598
0.986,442
0.996,606
1.006,436
1.016,612
1.026,414
1.036,630
1.047,397
1.056,639
1.067,396
1.078,632
1.088,391
1.098,624
1.108,382
1.119,636
1.129,407
1.139,620
1.149,404
1.16,609
1.17,428
1.181,588
1.19,452
1.201,591
1.211,474
1.221,581
1.232,481
1.242,564
1.252,514
1.263,533
1.273,528
1.283,497
1.293,534
1.304,483
1.314,544
1.324,449
1.334,553
1.345,432
1.355,558
1.365,411
1.376,568
1.386,394
1.396,583
1.406,389
1.416,583
1.427,390
1.437,593
1.447,375
1.457,595
1.468,378
1.478,581
1.488,385
1.499,600
1.509,391
1.519,581
1.529,385
1.54,575
1.55,405
1.56,564
1.571,417
1.581,568
1.591,440
1.602,555
1.612,466
1.622,516
1.632,478
1.642,519
1.653,494
1.663,499
1.673,503
1.683,486
1.694,529
1.704,479
1.714,551
1.725,455
1.735,565
1.745,432
1.756,577
1.765,421
1.776,582
1.786,407
1.796,592
1.807,414
1.817,601
1.827,391
1.838,612
1.848,400
1.858,608
1.868,399
1.879,587
1.889,404
1.899,592
1.91,414
1.92,591
1.93,426
1.94,595
1.951,444
1.961,579
1.971,470
1.981,550
1.992,492
2.002,562
2.012,502
2.022,568
2.033,529
2.043,545
2.054,531
2.064,523
2.074,549
2.084,495
2.094,557
2.105,471
2.115,559
2.125,457
2.136,575
2.146,441
2.156,593
2.167,436
2.176,588
2.187,425
2.197,604
2.208,422
2.218,609
2.228,402
2.238,611
2.248,401
2.259,608
2.269,415
2.279,603
2.29,421
2.3,592
2.31,408
2.32,585
2.331,423
2.341,580
2.351,435
2.362,571
2.372,448
2.382,550
2.393,461
2.403,525
2.413,472
2.423,506
2.434,498
2.443,496
2.453,511
2.464,480
2.474,518
2.485,462
2.495,546
2.505,454
2.516,545
2.526,429
2.536,564
2.546,410
2.557,552
2.567,386
2.577,560
2.587,381
2.597,577
2.608,376
2.618,582
2.628,381
2.638,581
2.649,385
2.66,568
2.67,393
2.68,586
2.69,401
2.7,579
2.71,418
2.721,573
2.731,437
2.741,570
2.752,458
2.762,571
2.772,479
2.782,544
2.793,494
2.803,537
2.813,505
2.823,524
2.833,532
2.843,510
2.853,547
2.864,491
2.875,567
2.885,471
2.895,567
2.905,462
2.916,591
2.926,440
2.936,601
2.947,443
2.957,611
2.967,426
2.978,610
2.988,415
2.999,614
