Timestamp,Sensor Data
0.0,1018
0.01,4
0.02,1018
0.031,4
0.041,1018
0.052,4
0.061,1018
0.072,4
0.082,1018
0.092,4
0.102,1017
0.113,4
0.123,1017
0.133,4
0.143,1017
0.154,4
0.164,1017
0.174,6
0.184,1016
0.195,29
0.205,993
0.216,59
0.226,939
0.236,115
0.246,847
0.256,186
0.266,740
0.277,294
0.287,623
0.297,417
0.308,508
0.318,560
0.328,398
0.339,727
0.349,288
0.359,866
0.369,180
0.38,1017
0.39,77
0.4,1017
0.411,4
0.42,1018
0.43,4
0.441,1018
0.451,4
0.461,1018
0.472,4
0.482,1018
0.492,4
0.503,1018
0.513,4
0.523,1017
0.533,4
0.543,1017
0.554,4
0.564,1017
0.574,10
0.584,1016
0.594,38
0.604,991
0.615,82
0.625,930
0.635,141
0.645,836
0.656,247
0.666,720
0.676,335
0.687,613
0.697,470
0.707,495
0.717,613
0.728,380
0.738,765
0.749,250
0.759,923
0.769,151
0.779,1017
0.79,39
0.8,1018
0.81,4
0.82,1018
0.831,4
0.841,1018
0.851,4
0.861,1017
0.872,4
0.881,1017
0.892,4
0.902,1017
0.913,4
0.922,1017
0.933,4
0.943,1017
0.953,4
0.963,1017
0.974,16
0.984,1014
0.995,44
1.005,981
1.015,81
1.025,913
1.036,136
1.046,819
1.056,225
1.066,689
1.077,339
1.087,594
1.097,465
1.107,479
1.117,619
1.128,356
1.138,770
1.148,234
1.158,923
1.169,123
1.179,1017
1.19,21
1.2,1017
1.21,4
1.22,1018
1.231,4
1.241,1018
1.251,4
1.261,1017
1.272,4
1.281,1017
1.292,4
1.303,1017
1.313,4
1.324,1017
1.334,4
1.344,1017
1.354,4
1.364,1017
1.375,14
1.385,1007
1.395,42
1.405,956
1.416,87
1.426,880
1.436,143
1.447,771
1.457,221
1.467,652
1.477,345
1.488,533
1.498,473
1.508,414
1.518,624
1.529,296
1.539,779
1.55,181
1.56,931
1.57,62
1.58,1017
1.59,4
1.6,1017
1.611,4
1.621,1017
1.631,4
1.641,1018
1.652,4
1.662,1017
1.672,4
1.682,1017
1.693,4
1.703,1017
1.713,4
1.723,1017
1.734,4
1.744,1017
1.754,4
1.764,1017
1.775,11
1.784,1008
1.795,39
1.805,951
1.816,84
1.826,888
1.836,136
1.847,791
1.857,232
1.867,672
1.877,347
1.888,558
1.898,488
1.908,437
1.918,631
1.929,312
1.939,790
1.949,212
1.96,962
1.97,99
1.98,1018
1.99,14
2.001,1018
2.011,4
2.021,1018
2.031,4
2.041,1018
2.051,4
2.062,1017
2.072,4
2.082,1017
2.093,4
2.103,1017
2.114,4
2.123,1017
2.134,4
2.144,1017
2.154,4
2.164,1017
2.175,18
2.185,1006
2.195,53
2.206,960
2.217,104
2.226,882
2.236,174
2.247,784
2.257,272
2.267,653
2.278,391
2.288,540
2.298,530
2.308,435
2.318,667
2.329,324
2.339,839
2.349,213
2.36,981
2.369,108
2.38,1018
2.39,4
2.4,1018
2.411,4
2.421,1018
2.432,4
2.441,1017
2.452,4
2.462,1018
2.473,4
2.483,1017
2.493,4
2.503,1017
2.514,4
2.524,1017
2.534,4
2.544,1017
2.554,5
2.565,1017
2.575,22
2.585,1001
2.596,59
2.606,954
2.616,110
2.626,865
2.637,189
2.647,747
2.657,289
2.668,625
2.678,419
2.688,534
2.698,553
2.709,415
2.719,707
2.729,298
2.739,858
2.75,190
2.76,1017
2.77,68
2.781,1017
2.791,4
2.801,1018
2.811,4
2.821,1018
2.832,4
2.842,1017
2.852,4
2.862,1018
2.873,4
2.883,1017
2.893,4
2.902,1017
2.913,4
2.924,1017
2.934,4
2.944,1017
2.955,5
2.965,1017
2.975,22
2.986,994
2.995,50
