Timestamp,Sensor Data
0.0,55
0.01,998
0.02,141
0.03,917
0.04,216
0.051,816
0.061,328
0.071,694
0.081,451
0.092,568
0.102,613
0.112,418
0.122,776
0.133,329
0.143,999
0.153,220
0.164,1018
0.174,78
0.184,1018
0.194,4
0.205,1018
0.215,4
0.225,1017
0.235,4
0.245,1018
0.256,4
0.266,1018
0.276,4
0.286,1017
0.297,4
0.307,1018
0.318,4
0.327,1017
0.338,4
0.348,1017
0.358,4
0.368,1017
0.379,9
0.389,1014
0.4,23
0.41,967
0.42,78
0.43,889
0.44,163
0.451,813
0.461,255
0.471,681
0.481,409
0.493,525
0.502,568
0.512,415
0.522,727
0.532,296
0.543,902
0.553,145
0.564,1018
0.574,30
0.584,1018
0.595,4
0.604,1018
0.615,4
0.625,1018
0.635,4
0.646,1018
0.656,4
0.666,1018
0.676,4
0.687,1018
0.697,4
0.707,1017
0.718,4
0.727,1017
0.737,4
0.748,1017
0.759,7
0.769,1018
0.78,19
0.789,1017
0.8,55
0.81,980
0.82,79
0.83,889
0.84,158
0.851,790
0.861,263
0.871,655
0.882,380
0.891,523
0.902,543
0.912,350
0.923,690
0.933,241
0.943,847
0.953,116
0.965,1018
0.974,44
0.984,1018
0.995,4
1.005,1018
1.015,4
1.025,1018
1.036,4
1.045,1018
1.055,4
1.065,1018
1.076,4
1.086,1018
1.097,4
1.107,1018
1.117,4
1.128,1017
1.138,4
1.148,1017
1.159,4
1.168,1017
1.179,18
1.189,1017
1.2,52
1.21,982
1.22,101
1.231,924
1.241,272
1.251,839
1.261,362
1.271,703
1.282,484
1.292,560
1.302,639
1.313,409
1.323,814
1.333,310
1.343,996
1.354,132
1.364,1018
1.374,4
1.384,1018
1.395,4
1.404,1018
1.415,4
1.425,1018
1.436,4
1.446,1018
1.456,4
1.466,1018
1.477,4
1.487,1018
1.497,4
1.507,1018
1.518,4
1.528,1018
1.538,4
1.548,1017
1.559,4
1.569,1017
1.579,7
1.589,1016
1.6,31
1.61,981
1.62,62
1.63,901
1.641,145
1.651,794
1.661,242
1.671,656
1.682,367
1.692,535
1.702,552
1.712,399
1.723,725
1.733,247
1.744,902
1.754,100
1.764,1018
1.774,4
1.784,1018
1.795,4
1.805,1018
1.815,4
1.825,1018
1.835,4
1.846,1018
1.856,4
1.866,1018
1.877,4
1.887,1018
1.897,4
1.907,1017
1.918,4
1.927,1017
1.938,4
1.948,1017
1.959,4
1.969,1017
1.98,7
1.989,1016
2.0,24
2.01,977
2.02,50
2.03,905
2.041,117
2.051,777
2.061,229
2.073,632
2.082,348
2.092,505
2.102,501
2.113,367
2.123,677
2.133,219
2.143,866
2.154,96
2.164,1018
2.175,4
2.184,1018
2.195,4
2.205,1018
2.215,4
2.225,1018
2.236,4
2.245,1018
2.256,4
2.266,1018
2.277,4
2.287,1017
2.297,4
2.307,1018
2.318,4
2.328,1017
2.338,4
2.348,1017
2.359,4
2.369,1017
2.379,4
2.389,1017
2.399,18
2.41,994
2.42,41
2.43,927
2.441,108
2.451,820
2.461,192
2.472,684
2.482,319
2.492,557
2.502,465
2.512,437
2.523,642
2.533,281
2.543,825
2.554,137
2.564,1003
2.574,4
2.584,1018
2.594,4
2.604,1018
2.615,4
2.625,1018
2.636,4
2.646,1018
2.656,4
2.666,1018
2.677,4
2.686,1018
2.697,4
2.707,1018
2.718,4
2.728,1017
2.738,4
2.748,1017
2.759,4
2.769,1017
2.779,4
2.789,1017
2.8,13
2.81,991
2.82,47
2.831,932
2.841,88
2.851,839
2.861,188
2.871,713
2.881,329
2.891,563
2.901,459
2.912,449
2.922,620
2.933,309
2.943,823
2.953,170
2.964,988
2.974,33
2.985,1018
2.994,4
