Timestamp,Sensor Data
0.0,1017
0.011,41
0.02,1017
0.031,4
0.041,1017
0.051,4
0.061,1017
0.072,4
0.082,1017
0.092,4
0.102,1017
0.113,4
0.123,1017
0.133,15
0.144,1017
0.154,51
0.164,1004
0.175,82
0.185,956
0.195,116
0.205,882
0.216,172
0.226,792
0.236,246
0.246,683
0.257,327
0.267,579
0.277,412
0.288,474
0.298,538
0.308,398
0.318,673
0.329,293
0.339,786
0.349,204
0.359,909
0.37,141
0.38,1005
0.39,54
0.4,1017
0.411,10
0.421,1017
0.432,4
0.441,1017
0.452,4
0.462,1017
0.472,4
0.482,1017
0.492,4
0.502,1017
0.514,5
0.523,1017
0.534,17
0.544,1009
0.555,49
0.564,968
0.575,88
0.585,906
0.595,129
0.605,823
0.616,191
0.626,721
0.638,271
0.647,625
0.657,336
0.667,528
0.678,451
0.688,431
0.698,539
0.708,337
0.719,690
0.729,285
0.74,826
0.75,212
0.76,948
0.77,150
0.78,1017
0.791,86
0.801,1017
0.811,22
0.821,1017
0.832,4
0.842,1017
0.852,4
0.861,1017
0.874,4
0.883,1017
0.893,4
0.903,1017
0.914,15
0.924,1016
0.934,38
0.944,990
0.955,69
0.965,938
0.975,116
0.985,878
0.995,173
1.006,797
1.016,260
1.026,695
1.036,349
1.047,580
1.057,433
1.067,506
1.077,574
1.088,402
1.098,700
1.109,295
1.119,815
1.129,214
1.14,924
1.15,136
1.16,1017
1.17,81
1.18,1017
1.191,22
1.201,1017
1.212,4
1.222,1017
1.232,4
1.242,1017
1.253,4
1.263,1017
1.273,4
1.283,1017
1.293,5
1.304,1017
1.314,19
1.324,1013
1.335,46
1.345,984
1.355,81
1.365,931
1.376,131
1.386,853
1.396,157
1.406,732
1.417,251
1.427,626
1.437,340
1.447,507
1.458,454
1.468,407
1.479,587
1.489,317
1.499,728
1.509,232
1.519,840
1.53,122
1.54,914
1.55,66
1.56,1017
1.571,8
1.581,1017
1.591,4
1.601,1017
1.612,4
1.622,1017
1.632,4
1.642,1017
1.654,4
1.663,1017
1.673,4
1.683,1017
1.694,4
1.704,1014
1.714,19
1.724,1003
1.735,47
1.745,965
1.756,84
1.765,920
1.775,137
1.786,823
1.796,210
1.806,742
1.817,299
1.827,647
1.837,403
1.848,553
1.858,510
1.868,456
1.878,664
1.889,377
1.899,805
1.909,296
1.919,916
1.93,205
1.94,1017
1.95,120
1.961,1017
1.971,52
1.98,1018
1.992,4
2.001,1017
2.012,4
2.022,1017
2.033,4
2.042,1017
2.053,4
2.063,1017
2.073,5
2.083,1017
2.094,12
2.104,1017
2.114,39
2.125,1006
2.135,83
2.145,966
2.155,132
2.166,893
2.176,203
2.186,793
2.197,255
2.207,680
2.217,346
2.227,578
2.238,469
2.247,472
2.258,590
2.268,357
2.279,709
2.289,250
2.299,832
2.309,161
2.319,896
2.33,62
2.341,986
2.351,17
2.361,1018
2.371,4
2.381,1017
2.391,4
2.401,1017
2.412,4
2.423,1017
2.433,4
2.443,1018
2.453,4
2.464,1017
2.474,4
2.484,1017
2.494,11
2.504,1016
2.514,31
2.524,993
2.534,67
2.544,951
2.555,119
2.566,869
2.576,173
2.586,770
2.596,251
2.606,654
2.618,371
2.628,523
2.637,482
2.648,426
2.658,620
2.669,326
2.679,761
2.689,237
2.699,888
2.71,146
2.72,1003
2.73,50
2.74,1017
2.75,4
2.761,1017
2.771,4
2.781,1017
2.792,4
2.802,1018
2.812,4
2.823,1017
2.833,4
2.843,1017
2.853,4
2.863,1017
2.873,4
2.884,1017
2.894,9
2.904,1013
2.915,35
2.925,988
2.935,74
2.945,936
2.957,121
2.965,859
2.976,184
2.986,755
2.998,274
