Timestamp,Sensor Data
0.0,1011
0.011,54
0.021,986
0.031,79
0.041,951
0.051,114
0.063,895
0.072,148
0.082,828
0.093,196
0.103,742
0.113,255
0.123,657
0.134,331
0.144,573
0.154,411
0.164,493
0.175,504
0.185,416
0.196,601
0.205,343
0.215,693
0.226,280
0.236,784
0.246,214
0.257,869
0.267,159
0.277,942
0.288,108
0.297,999
0.308,78
0.318,1017
0.329,55
0.338,1017
0.349,34
0.359,1017
0.37,32
0.379,1015
0.39,46
0.401,998
0.411,63
0.421,963
0.431,92
0.441,916
0.452,121
0.462,853
0.472,172
0.483,775
0.493,229
0.503,697
0.513,300
0.524,606
0.533,382
0.544,524
0.554,468
0.564,448
0.575,561
0.585,369
0.596,651
0.606,301
0.616,745
0.627,237
0.636,834
0.647,179
0.657,911
0.667,125
0.678,974
0.688,91
0.698,1017
0.709,62
0.719,1017
0.73,41
0.739,1017
0.75,33
0.76,1017
0.77,42
0.78,1009
0.791,64
0.801,981
0.811,88
0.821,935
0.832,120
0.842,876
0.852,163
0.862,803
0.873,220
0.883,714
0.893,284
0.904,629
0.914,358
0.924,550
0.934,446
0.944,468
0.955,541
0.965,391
0.975,635
0.985,319
0.996,725
1.006,258
1.017,819
1.027,193
1.036,896
1.047,140
1.057,962
1.067,98
1.077,1012
1.088,64
1.098,1017
1.109,46
1.119,1017
1.129,34
1.139,1017
1.15,33
1.16,1013
1.17,47
1.181,989
1.191,69
1.201,952
1.211,96
1.222,898
1.232,134
1.242,833
1.252,191
1.264,745
1.273,254
1.283,665
1.293,332
1.304,585
1.314,421
1.324,503
1.335,507
1.345,422
1.355,601
1.366,351
1.376,701
1.385,273
1.397,787
1.407,215
1.417,874
1.427,164
1.437,944
1.448,121
1.458,1006
1.468,81
1.479,1017
1.489,60
1.499,1017
1.509,48
1.52,1017
1.53,47
1.54,1016
1.55,52
1.56,1001
1.571,73
1.581,964
1.591,96
1.602,918
1.612,130
1.622,853
1.633,180
1.643,774
1.653,234
1.663,694
1.674,311
1.684,601
1.694,398
1.705,512
1.715,489
1.725,434
1.735,586
1.745,358
1.756,676
1.766,285
1.776,763
1.787,215
1.797,854
1.807,165
1.817,928
1.828,114
1.838,994
1.848,78
1.858,1017
1.869,50
1.879,1017
1.889,32
1.899,1017
1.91,27
1.92,1017
1.93,31
1.94,1006
1.951,53
1.961,977
1.971,71
1.982,931
1.992,105
2.002,869
2.012,141
2.023,792
2.033,204
2.043,712
2.053,276
2.064,630
2.074,359
2.084,534
2.095,440
2.105,455
2.115,546
2.126,373
2.136,639
2.146,302
2.156,729
2.167,232
2.177,813
2.187,171
2.197,901
2.207,126
2.218,971
2.228,83
2.238,1017
2.249,51
2.259,1017
2.269,31
2.279,1017
2.29,23
2.3,1017
2.311,29
2.32,1013
2.331,48
2.341,991
2.351,77
2.361,953
2.372,112
2.382,895
2.393,154
2.402,825
2.413,206
2.423,742
2.434,263
2.443,659
2.454,339
2.464,569
2.474,420
2.485,491
2.495,512
2.505,414
2.516,611
2.526,330
2.535,704
2.547,257
2.557,796
2.568,194
2.577,880
2.588,146
2.598,957
2.608,99
2.618,1012
2.629,77
2.639,1017
2.649,63
2.659,1017
2.67,49
2.68,1017
2.69,53
2.7,1016
2.711,51
2.721,1002
2.731,85
2.742,966
2.752,107
2.762,912
2.772,148
2.783,844
2.793,195
2.803,761
2.813,241
2.824,675
2.834,325
2.844,599
2.854,412
2.865,508
2.875,493
2.885,431
2.895,589
2.906,349
2.916,675
2.926,277
2.937,767
2.948,210
2.957,853
2.967,149
2.978,923
2.988,108
2.999,991
