Timestamp,Sensor Data
0.0,4
0.01,1017
0.021,4
0.03,1017
0.041,4
0.05,1017
0.062,23
0.071,1006
0.082,63
0.092,962
0.103,112
0.112,873
0.123,197
0.133,768
0.143,306
0.153,657
0.164,443
0.174,537
0.184,591
0.195,421
0.205,764
0.215,309
0.225,935
0.236,199
0.246,1018
0.256,68
0.266,1017
0.277,4
0.287,1018
0.297,4
0.307,1018
0.318,4
0.328,1017
0.338,4
0.348,1017
0.359,4
0.368,1017
0.379,4
0.389,1017
0.4,4
0.41,1017
0.42,4
0.43,1017
0.441,4
0.451,1017
0.461,16
0.471,1004
0.482,53
0.492,951
0.502,110
0.513,846
0.523,199
0.533,731
0.543,314
0.553,608
0.563,445
0.574,479
0.585,604
0.595,339
0.605,779
0.615,214
0.625,944
0.636,96
0.646,1018
0.657,4
0.666,1018
0.677,4
0.687,1018
0.697,4
0.707,1018
0.718,4
0.728,1018
0.738,4
0.748,1018
0.759,4
0.769,1017
0.78,4
0.789,1018
0.8,4
0.81,1017
0.82,4
0.83,1017
0.841,4
0.851,1017
0.861,17
0.871,1004
0.882,59
0.892,950
0.903,117
0.913,863
0.923,213
0.933,767
0.943,330
0.954,667
0.964,489
0.974,552
0.985,643
0.995,454
1.005,818
1.015,330
1.026,993
1.036,221
1.046,1018
1.056,110
1.067,1018
1.077,4
1.086,1018
1.097,4
1.107,1018
1.118,4
1.128,1018
1.138,4
1.148,1018
1.158,4
1.168,1018
1.18,4
1.189,1017
1.2,4
1.21,1018
1.221,4
1.23,1017
1.241,12
1.251,1017
1.261,45
1.271,996
1.282,88
1.292,943
1.302,151
1.312,848
1.322,237
1.333,729
1.343,351
1.354,605
1.363,485
1.374,473
1.385,626
1.395,358
1.405,788
1.416,225
1.426,946
1.436,103
1.446,1018
1.457,4
1.467,1018
1.477,4
1.487,1017
1.498,4
1.508,1017
1.519,4
1.528,1018
1.538,4
1.548,1017
1.559,4
1.569,1017
1.579,4
1.59,1017
1.6,4
1.611,1017
1.621,4
1.631,1017
1.642,5
1.651,1014
1.662,14
1.672,974
1.682,38
1.692,901
1.703,76
1.713,804
1.723,147
1.734,677
1.744,237
1.755,539
1.764,355
1.774,395
1.785,475
1.795,248
1.805,644
1.815,122
1.826,822
1.836,6
1.846,955
1.856,4
1.867,1018
1.877,3
1.887,1018
1.898,4
1.908,1018
1.918,4
1.928,1017
1.938,4
1.948,1017
1.958,4
1.968,1017
1.98,4
1.989,1017
2.0,4
2.01,1017
2.02,4
2.031,1017
2.041,4
2.051,1017
2.062,14
2.071,991
2.082,43
2.092,937
2.102,88
2.113,853
2.123,153
2.133,738
2.144,245
2.154,617
2.164,377
2.174,501
2.184,524
2.195,374
2.205,680
2.215,266
2.226,821
2.236,149
2.246,994
2.256,43
2.267,1018
2.277,4
2.287,1018
2.297,4
2.308,1018
2.318,4
2.328,1017
2.338,3
2.349,1018
2.359,3
2.369,1017
2.38,4
2.39,1017
2.4,4
2.41,1017
2.421,4
2.43,1017
2.441,4
2.451,1017
2.461,13
2.472,1002
2.482,38
2.492,944
2.503,83
2.513,865
2.523,148
2.533,751
2.544,242
2.554,648
2.564,379
2.574,543
2.585,534
2.595,425
2.605,697
2.615,299
2.625,867
2.636,206
2.646,1018
2.656,93
2.667,1018
2.678,4
2.687,1017
2.698,4
2.707,1018
2.718,4
2.728,1018
2.738,4
2.748,1017
2.759,4
2.769,1017
2.78,4
2.79,1017
2.8,4
2.81,1017
2.821,4
2.831,1017
2.841,4
2.851,1017
2.862,8
2.872,997
2.882,27
2.892,948
2.903,71
2.913,871
2.923,133
2.933,761
2.944,222
2.954,632
2.964,343
2.974,521
2.985,491
2.995,409
