Timestamp,Sensor Data
0.0,458
0.01,718
0.021,338
0.031,873
0.041,219
0.051,1018
0.061,108
0.072,1017
0.082,11
0.092,1018
0.103,4
0.113,1018
0.123,4
0.133,1017
0.144,4
0.153,1018
0.164,4
0.174,1018
0.185,4
0.195,1017
0.205,4
0.215,1017
0.225,4
0.236,1017
0.246,5
0.256,1017
0.267,22
0.277,1010
0.287,61
0.297,964
0.307,119
0.318,870
0.328,191
0.338,756
0.349,301
0.359,634
0.369,427
0.38,508
0.39,596
0.4,384
0.41,773
0.421,247
0.431,957
0.441,124
0.452,1018
0.462,4
0.472,1018
0.482,4
0.492,1017
0.502,4
0.512,1018
0.523,4
0.533,1018
0.543,4
0.554,1018
0.565,4
0.575,1018
0.585,4
0.595,1017
0.605,4
0.615,1017
0.626,4
0.636,1017
0.646,6
0.657,1017
0.667,29
0.677,1009
0.687,80
0.698,959
0.708,146
0.718,867
0.728,245
0.739,747
0.749,376
0.759,621
0.77,524
0.78,480
0.79,667
0.8,341
0.811,853
0.821,211
0.831,1018
0.842,76
0.852,1018
0.862,4
0.872,1018
0.882,4
0.892,1018
0.903,4
0.913,1018
0.924,4
0.933,1018
0.944,4
0.954,1018
0.965,4
0.974,1018
0.985,4
0.995,1017
1.005,4
1.015,1017
1.026,4
1.036,1017
1.047,4
1.056,1017
1.067,16
1.077,997
1.086,44
1.096,937
1.107,104
1.117,836
1.128,194
1.138,702
1.148,316
1.159,565
1.17,480
1.18,422
1.189,656
1.2,285
1.211,850
1.221,145
1.231,1018
1.241,6
1.252,1018
1.262,4
1.272,1018
1.282,4
1.292,1018
1.303,4
1.313,1018
1.323,4
1.333,1018
1.344,4
1.354,1018
1.364,4
1.374,1017
1.385,4
1.395,1017
1.405,4
1.416,1017
1.426,4
1.436,1017
1.447,4
1.456,1017
1.467,10
1.477,987
1.487,37
1.497,919
1.508,94
1.518,818
1.528,172
1.539,685
1.549,288
1.559,549
1.57,442
1.581,404
1.59,614
1.6,265
1.611,808
1.62,129
1.631,997
1.641,6
1.651,1018
1.662,4
1.672,1018
1.682,4
1.692,1018
1.703,4
1.713,1018
1.723,4
1.733,1017
1.744,4
1.754,1018
1.765,4
1.774,1018
1.785,4
1.795,1018
1.805,4
1.815,1017
1.826,4
1.836,1017
1.846,4
1.856,1017
1.867,10
1.877,1002
1.887,36
1.897,943
1.908,87
1.918,842
1.928,172
1.939,725
1.949,281
1.959,586
1.969,440
1.979,449
1.99,629
2.0,301
2.01,815
2.021,162
2.031,1012
2.041,20
2.051,1018
2.062,4
2.072,1018
2.082,4
2.092,1018
2.103,4
2.113,1018
2.123,4
2.133,1017
2.144,4
2.154,1018
2.164,4
2.174,1017
2.185,4
2.195,1017
2.206,4
2.215,1017
2.226,4
2.236,1017
2.247,4
2.256,1017
2.267,11
2.277,997
2.287,47
2.298,933
2.307,104
2.318,829
2.328,194
2.339,698
2.349,319
2.359,561
2.369,473
2.38,425
2.39,656
2.4,292
2.411,831
2.421,164
2.431,1018
2.442,9
2.451,1018
2.462,4
2.472,1017
2.482,4
2.493,1018
2.503,4
2.513,1018
2.524,4
2.533,1018
2.544,4
2.553,1018
2.564,4
2.574,1018
2.585,4
2.595,1017
2.605,4
2.615,1018
2.626,4
2.636,1017
2.646,4
2.656,1017
2.667,11
2.677,1001
2.687,43
2.698,931
2.708,107
2.718,830
2.728,196
2.739,701
2.748,319
2.758,564
2.769,485
2.78,425
2.79,675
2.8,281
2.811,856
2.821,145
2.832,1018
2.842,4
2.851,1018
2.862,4
2.872,1018
2.883,4
2.892,1018
2.903,4
2.913,1018
2.923,4
2.933,1018
2.944,4
2.954,1018
2.964,4
2.974,1017
2.985,4
2.995,1018
