Timestamp,Sensor Data
0.0,995
0.01,39
0.02,933
0.031,92
0.041,842
0.051,168
0.061,714
0.072,291
0.082,580
0.092,435
0.102,454
0.113,611
0.123,323
0.133,793
0.144,191
0.154,986
0.164,58
0.174,1018
0.184,4
0.195,1018
0.205,4
0.215,1018
0.226,4
0.235,1018
0.246,4
0.256,1018
0.267,4
0.277,1018
0.287,4
0.297,1018
0.307,4
0.318,1017
0.328,4
0.337,1017
0.349,4
0.359,1017
0.369,4
0.379,1017
0.39,11
0.4,1014
0.41,44
0.42,966
0.431,95
0.441,890
0.451,170
0.461,776
0.471,281
0.482,647
0.492,419
0.502,510
0.513,586
0.523,375
0.533,772
0.544,235
0.554,959
0.564,92
0.574,1018
0.585,3
0.595,1018
0.605,3
0.615,1018
0.626,4
0.636,1018
0.646,4
0.656,1018
0.667,4
0.677,1018
0.687,4
0.697,1018
0.708,4
0.718,1017
0.728,4
0.738,1017
0.749,4
0.759,1017
0.769,4
0.779,1017
0.79,5
0.8,1013
0.81,26
0.82,971
0.831,64
0.841,889
0.851,131
0.861,766
0.872,236
0.882,642
0.892,373
0.903,506
0.913,537
0.923,366
0.933,717
0.944,223
0.954,901
0.964,98
0.974,1018
0.985,4
0.995,1018
1.005,4
1.015,1018
1.026,4
1.034,1018
1.046,4
1.056,1018
1.066,4
1.076,1018
1.087,4
1.097,1018
1.107,4
1.117,1018
1.128,4
1.138,1017
1.148,4
1.157,1017
1.168,4
1.178,1017
1.19,7
1.199,1017
1.21,25
1.219,996
1.23,65
1.241,927
1.251,123
1.261,818
1.271,200
1.282,677
1.292,304
1.303,519
1.313,449
1.323,418
1.333,689
1.344,293
1.353,834
1.364,154
1.374,1017
1.385,12
1.395,1018
1.405,4
1.415,1018
1.426,3
1.436,1018
1.447,4
1.456,1018
1.467,4
1.476,1018
1.487,4
1.497,1018
1.508,4
1.517,1018
1.528,4
1.538,1018
1.549,4
1.559,1017
1.569,4
1.579,1017
1.59,5
1.6,1017
1.61,25
1.62,996
1.631,63
1.641,932
1.651,128
1.661,832
1.672,220
1.682,709
1.692,340
1.702,575
1.713,498
1.723,435
1.733,670
1.743,301
1.754,865
1.764,175
1.774,1018
1.786,29
1.795,1018
1.805,4
1.815,1018
1.826,4
1.835,1018
1.846,4
1.856,1018
1.867,4
1.877,1018
1.887,4
1.897,1018
1.908,4
1.918,1018
1.928,4
1.938,1017
1.949,4
1.959,1017
1.969,4
1.979,1017
1.989,5
1.999,1017
2.01,26
2.02,1004
2.031,71
2.041,947
2.051,134
2.061,854
2.072,223
2.082,741
2.092,366
2.102,624
2.113,532
2.123,485
2.133,720
2.144,357
2.154,908
2.164,218
2.174,1018
2.185,76
2.195,1018
2.205,4
2.215,1018
2.226,4
2.236,1018
2.246,4
2.256,1018
2.266,4
2.276,1018
2.287,4
2.297,1018
2.308,4
2.317,1018
2.328,4
2.338,1018
2.349,4
2.359,1017
2.369,4
2.379,1017
2.39,4
2.4,1017
2.41,19
2.42,1001
2.431,57
2.441,936
2.451,118
2.461,833
2.472,210
2.482,713
2.492,329
2.502,577
2.513,488
2.523,445
2.533,655
2.544,306
2.554,847
2.564,167
2.574,1017
2.585,25
2.595,1018
2.605,4
2.615,1018
2.627,4
2.636,1018
2.647,4
2.656,1018
2.667,4
2.677,1018
2.688,4
2.697,1018
2.708,4
2.718,1018
2.728,4
2.738,1017
2.749,4
2.759,1017
2.769,4
2.779,1017
2.79,4
2.8,1017
2.811,13
2.821,997
2.83,40
2.841,941
2.851,94
2.861,845
2.872,168
2.882,725
2.892,286
2.903,585
2.912,430
2.923,436
2.934,618
2.944,302
2.954,791
2.965,172
2.975,982
2.985,41
2.995,1018
