Timestamp,Sensor Data
0.0,4
0.009,1017
0.02,17
0.03,1012
0.041,32
0.051,980
0.061,74
0.071,923
0.082,143
0.092,833
0.102,202
0.113,737
0.123,288
0.133,645
0.143,420
0.153,545
0.163,535
0.174,434
0.184,660
0.194,329
0.205,800
0.215,236
0.225,938
0.236,140
0.247,1018
0.256,56
0.266,1017
0.277,4
0.286,1017
0.297,4
0.307,1017
0.318,4
0.328,1017
0.339,4
0.348,1017
0.359,4
0.369,1017
0.379,4
0.389,1017
0.4,4
0.409,1017
0.42,13
0.43,1012
0.441,38
0.451,971
0.461,75
0.471,922
0.482,121
0.492,829
0.503,189
0.513,727
0.523,292
0.533,638
0.543,411
0.554,531
0.563,536
0.573,441
0.584,669
0.595,320
0.605,812
0.615,212
0.626,944
0.636,136
0.647,1018
0.657,14
0.667,1018
0.677,4
0.687,1017
0.697,4
0.707,1017
0.718,4
0.728,1018
0.738,4
0.748,1017
0.759,4
0.769,1017
0.78,4
0.79,1017
0.8,4
0.81,1017
0.82,7
0.83,1015
0.841,21
0.851,983
0.862,49
0.872,929
0.882,89
0.892,841
0.902,151
0.913,739
0.923,237
0.933,628
0.944,362
0.954,518
0.964,497
0.974,401
0.985,614
0.995,323
1.005,768
1.015,181
1.025,904
1.035,97
1.045,1017
1.057,4
1.065,1017
1.076,4
1.086,1017
1.097,4
1.107,1017
1.118,4
1.128,1018
1.139,4
1.148,1018
1.159,4
1.169,1017
1.179,4
1.189,1017
1.199,4
1.21,1017
1.22,4
1.23,1017
1.241,18
1.251,994
1.261,46
1.271,944
1.282,85
1.292,863
1.302,138
1.313,774
1.323,227
1.333,670
1.343,330
1.353,564
1.363,458
1.374,474
1.385,601
1.395,357
1.405,744
1.416,251
1.425,896
1.436,163
1.446,1018
1.457,69
1.467,1018
1.477,4
1.487,1017
1.497,4
1.507,1017
1.518,4
1.528,1017
1.539,4
1.549,1017
1.559,4
1.568,1017
1.58,4
1.59,1017
1.6,4
1.61,1017
1.621,4
1.63,1017
1.641,17
1.651,1007
1.662,44
1.672,960
1.682,86
1.692,893
1.702,157
1.713,790
1.723,232
1.733,694
1.744,336
1.754,597
1.764,466
1.774,486
1.785,614
1.795,354
1.805,746
1.815,260
1.826,885
1.836,154
1.846,1018
1.857,51
1.867,1017
1.877,4
1.887,1018
1.898,4
1.908,1017
1.918,4
1.928,1017
1.939,4
1.949,1017
1.959,4
1.969,1017
1.98,4
1.99,1017
2.0,4
2.01,1017
2.02,4
2.03,1017
2.041,12
2.051,1005
2.062,43
2.072,955
2.082,83
2.092,893
2.102,133
2.113,814
2.123,225
2.133,692
2.144,332
2.154,597
2.164,460
2.174,479
2.185,600
2.195,374
2.205,745
2.216,271
2.226,892
2.236,161
2.246,1017
2.257,69
2.267,1018
2.277,4
2.287,1018
2.298,4
2.307,1018
2.318,4
2.328,1018
2.339,4
2.349,1017
2.359,4
2.369,1017
2.38,4
2.39,1017
2.4,4
2.41,1017
2.421,5
2.431,1017
2.441,20
2.451,1009
2.462,55
2.472,967
2.482,94
2.493,896
2.503,151
2.513,792
2.523,231
2.534,699
2.544,338
2.554,579
2.565,470
2.575,457
2.585,596
2.595,352
2.606,757
2.616,231
2.626,888
2.636,127
2.647,1018
2.657,20
2.667,1018
2.677,4
2.687,1017
2.698,4
2.708,1017
2.719,4
2.728,1017
2.739,4
2.749,1017
2.76,4
2.769,1017
2.78,4
2.79,1017
2.8,4
2.81,1017
2.821,4
2.83,1017
2.841,8
2.851,1010
2.862,28
2.872,974
2.882,69
2.893,908
2.902,124
2.913,817
2.924,199
2.934,713
2.944,315
2.954,611
2.965,435
2.975,499
2.985,579
2.995,388
