Timestamp,Sensor Data
0.0,4
0.01,1017
0.02,4
0.03,1017
0.041,11
0.051,991
0.061,31
0.072,937
0.082,87
0.092,867
0.102,152
0.113,756
0.123,253
0.133,629
0.143,368
0.154,498
0.164,507
0.174,398
0.184,668
0.194,290
0.205,827
0.215,178
0.226,990
0.236,77
0.245,1018
0.256,4
0.266,1018
0.277,4
0.287,1018
0.297,4
0.307,1017
0.318,4
0.328,1018
0.338,4
0.348,1017
0.359,4
0.369,1018
0.379,4
0.389,1017
0.4,4
0.41,1017
0.42,4
0.43,1017
0.441,11
0.451,1016
0.461,41
0.471,984
0.482,88
0.492,918
0.502,140
0.512,830
0.523,228
0.533,727
0.543,350
0.554,618
0.564,483
0.574,483
0.585,638
0.595,366
0.605,785
0.615,237
0.626,960
0.636,126
0.646,1018
0.656,21
0.667,1018
0.677,4
0.687,1018
0.697,4
0.707,1017
0.718,4
0.728,1018
0.739,4
0.748,1017
0.759,4
0.769,1017
0.78,4
0.79,1017
0.8,4
0.81,1017
0.821,4
0.831,1017
0.841,9
0.852,1016
0.861,35
0.872,989
0.882,74
0.892,938
0.902,134
0.913,850
0.923,231
0.933,745
0.943,320
0.954,651
0.964,480
0.974,523
0.984,615
0.995,416
1.005,776
1.015,294
1.025,914
1.035,204
1.046,1018
1.056,79
1.066,1018
1.077,4
1.087,1018
1.097,4
1.107,1018
1.117,4
1.128,1018
1.139,4
1.148,1018
1.158,4
1.168,1017
1.179,4
1.189,1017
1.199,4
1.209,1017
1.22,4
1.23,1017
1.24,7
1.25,1017
1.261,26
1.271,994
1.281,59
1.291,936
1.302,111
1.312,854
1.322,190
1.332,742
1.343,312
1.354,646
1.364,426
1.374,523
1.385,569
1.395,404
1.405,726
1.415,280
1.425,885
1.435,158
1.445,1017
1.456,58
1.466,1018
1.477,4
1.486,1018
1.497,4
1.508,1018
1.518,4
1.528,1018
1.538,4
1.549,1018
1.559,4
1.569,1017
1.58,4
1.59,1017
1.601,4
1.61,1017
1.621,4
1.631,1017
1.641,5
1.651,1017
1.662,14
1.672,1012
1.682,48
1.692,963
1.703,95
1.713,887
1.723,156
1.733,791
1.744,258
1.754,665
1.765,379
1.775,565
1.785,528
1.795,438
1.805,678
1.815,310
1.826,839
1.836,183
1.846,1018
1.857,52
1.866,1018
1.877,4
1.887,1018
1.898,4
1.908,1018
1.918,4
1.928,1017
1.939,4
1.949,1017
1.959,4
1.969,1018
1.981,4
1.99,1017
2.0,4
2.01,1017
2.021,4
2.03,1017
2.041,4
2.051,1017
2.062,6
2.071,1016
2.082,35
2.092,979
2.102,78
2.113,911
2.123,122
2.133,809
2.144,244
2.154,696
2.165,367
2.175,573
2.185,518
2.195,446
2.205,677
2.215,323
2.226,844
2.236,191
2.246,1000
2.257,82
2.267,1018
2.277,4
2.287,1018
2.298,4
2.308,1018
2.318,4
2.328,1018
2.339,4
2.348,1018
2.359,4
2.369,1018
2.38,4
2.39,1018
2.4,4
2.41,1017
2.421,4
2.431,1018
2.441,4
2.451,1017
2.462,4
2.471,1017
2.482,18
2.492,999
2.503,46
2.513,933
2.523,112
2.533,856
2.544,173
2.554,737
2.564,253
2.575,615
2.585,431
2.595,474
2.605,598
2.616,337
2.626,780
2.636,207
2.647,959
2.657,71
2.667,1018
2.677,4
2.687,1018
2.699,4
2.708,1018
2.719,4
2.728,1018
2.739,4
2.748,1018
2.76,4
2.77,1018
2.78,4
2.79,1017
2.8,4
2.81,1018
2.821,4
2.831,1017
2.841,4
2.851,1017
2.862,4
2.872,1017
2.882,5
2.892,1009
2.903,27
2.913,974
2.923,62
2.933,881
2.944,129
2.954,764
2.964,237
2.975,640
2.985,362
2.996,520
