Timestamp,Sensor Data
0.0,4
0.01,1017
0.02,4
0.031,1017
0.041,4
0.05,1017
0.062,4
0.072,1017
0.082,4
0.092,1017
0.102,4
0.113,1017
0.122,16
0.133,1011
0.143,49
0.154,973
0.164,97
0.174,908
0.184,162
0.195,815
0.205,255
0.215,710
0.226,368
0.236,596
0.246,498
0.256,477
0.266,647
0.277,355
0.287,793
0.298,231
0.308,945
0.317,121
0.328,1017
0.338,11
0.348,1018
0.359,4
0.369,1018
0.38,4
0.39,1018
0.4,4
0.41,1017
0.421,4
0.43,1018
0.441,4
0.451,1018
0.461,4
0.472,1017
0.482,4
0.492,1017
0.503,4
0.512,1017
0.523,14
0.532,1005
0.543,47
0.553,948
0.563,94
0.573,866
0.585,160
0.595,753
0.605,258
0.615,631
0.626,378
0.636,511
0.647,522
0.657,383
0.666,670
0.676,265
0.688,829
0.698,150
0.708,984
0.718,40
0.729,1017
0.739,4
0.749,1018
0.759,4
0.769,1018
0.78,4
0.79,1018
0.801,4
0.81,1017
0.82,4
0.831,1017
0.841,4
0.852,1017
0.862,4
0.872,1018
0.882,4
0.892,1017
0.903,4
0.912,1017
0.923,11
0.933,996
0.944,35
0.954,943
0.964,79
0.975,862
0.985,139
0.995,755
1.005,230
1.015,636
1.026,344
1.036,518
1.046,478
1.057,396
1.067,630
1.077,279
1.087,782
1.097,163
1.108,932
1.118,53
1.128,1017
1.138,4
1.148,1017
1.158,4
1.168,1017
1.179,4
1.189,1018
1.199,4
1.21,1017
1.22,4
1.23,1017
1.241,4
1.252,1017
1.261,4
1.271,1017
1.282,4
1.291,1017
1.302,4
1.312,1017
1.322,13
1.333,994
1.343,45
1.354,941
1.364,91
1.375,858
1.385,158
1.395,754
1.404,256
1.416,640
1.426,381
1.436,518
1.446,517
1.457,397
1.467,686
1.477,286
1.487,839
1.498,169
1.508,997
1.518,69
1.529,1018
1.539,4
1.549,1018
1.559,4
1.569,1018
1.58,4
1.589,1018
1.601,4
1.61,1018
1.621,4
1.631,1018
1.641,4
1.651,1017
1.662,4
1.671,1017
1.682,4
1.692,1017
1.702,4
1.713,1017
1.723,12
1.733,1006
1.744,43
1.754,955
1.764,95
1.774,874
1.785,161
1.795,762
1.805,269
1.815,640
1.825,400
1.835,509
1.846,555
1.857,379
1.867,720
1.876,248
1.888,892
1.898,126
1.908,1017
1.919,3
1.929,1018
1.939,4
1.949,1018
1.96,4
1.969,1017
1.979,4
1.99,1018
2.001,4
2.011,1018
2.021,4
2.031,1018
2.042,4
2.051,1018
2.062,4
2.072,1017
2.082,4
2.093,1018
2.103,5
2.113,1017
2.123,19
2.133,1005
2.144,63
2.154,950
2.164,128
2.174,862
2.185,236
2.195,784
2.205,395
2.215,691
2.226,561
2.236,601
2.246,752
2.257,487
2.267,909
2.277,392
2.287,1017
2.298,272
2.308,1018
2.318,163
2.328,1018
2.339,62
2.349,1018
2.36,4
2.369,1018
2.38,4
2.39,1018
2.401,4
2.411,1017
2.421,4
2.431,1017
2.442,4
2.451,1017
2.462,4
2.472,1017
2.483,4
2.493,1017
2.502,9
2.512,1015
2.524,31
2.534,974
2.544,65
2.554,890
2.564,114
2.574,775
2.585,204
2.596,641
2.605,327
2.616,507
2.626,474
2.636,370
2.647,634
2.657,244
2.667,807
2.677,125
2.688,974
2.698,9
2.708,1018
2.719,3
2.728,1017
2.739,4
2.749,1018
2.76,4
2.769,1018
2.78,4
2.79,1018
2.801,4
2.81,1017
2.821,4
2.831,1017
2.842,4
2.852,1017
2.862,4
2.872,1017
2.882,4
2.892,1017
2.904,4
2.913,1011
2.924,18
2.933,967
2.944,53
2.954,899
2.965,108
2.975,788
2.985,202
2.995,672
