Timestamp,Sensor Data
0.0,984
0.01,92
0.02,907
0.031,166
0.041,794
0.051,293
0.062,666
0.072,462
0.082,499
0.092,649
0.102,354
0.113,847
0.123,236
0.134,1018
0.144,157
0.154,1018
0.164,89
0.174,1018
0.185,24
0.195,1018
0.205,4
0.215,1018
0.226,4
0.236,1018
0.246,4
0.256,1018
0.267,4
0.277,1018
0.287,4
0.297,1017
0.307,4
0.318,1018
0.328,4
0.338,1018
0.349,8
0.359,1017
0.369,32
0.379,1017
0.39,84
0.4,1003
0.41,152
0.421,917
0.431,235
0.442,804
0.451,387
0.462,658
0.472,569
0.482,526
0.493,750
0.503,383
0.513,957
0.523,244
0.534,1018
0.544,97
0.554,1018
0.565,4
0.575,1018
0.585,4
0.595,1018
0.605,4
0.616,1018
0.626,4
0.636,1018
0.647,4
0.656,1018
0.667,4
0.677,1018
0.688,4
0.698,1017
0.708,4
0.718,1018
0.729,4
0.738,1017
0.749,4
0.759,1017
0.77,14
0.78,1016
0.79,51
0.8,977
0.81,110
0.821,883
0.831,219
0.841,764
0.852,342
0.862,631
0.872,500
0.882,491
0.893,697
0.903,348
0.913,890
0.923,214
0.934,1018
0.944,48
0.954,1018
0.965,4
0.975,1018
0.985,4
0.995,1018
1.006,4
1.015,1018
1.026,4
1.036,1018
1.047,4
1.055,1018
1.067,4
1.076,1017
1.087,4
1.097,1018
1.108,4
1.118,1017
1.128,4
1.138,1017
1.149,4
1.159,1017
1.169,14
1.179,1015
1.19,40
1.2,970
1.211,110
1.221,880
1.231,198
1.241,754
1.252,323
1.262,619
1.272,507
1.282,473
1.293,697
1.303,326
1.313,887
1.324,171
1.334,1018
1.345,30
1.354,1018
1.365,3
1.375,1018
1.385,4
1.395,1018
1.406,4
1.416,1018
1.426,4
1.437,1018
1.447,4
1.457,1018
1.467,4
1.477,1018
1.488,4
1.498,1018
1.508,4
1.518,1018
1.53,4
1.539,1017
1.549,4
1.559,1017
1.57,8
1.58,1016
1.59,40
1.6,982
1.61,92
1.62,905
1.631,163
1.641,780
1.652,295
1.662,648
1.672,440
1.683,509
1.693,631
1.703,358
1.713,820
1.724,207
1.734,1017
1.744,34
1.754,1018
1.765,4
1.775,1018
1.785,4
1.795,1018
1.806,3
1.816,1018
1.826,4
1.836,1018
1.847,4
1.857,1018
1.867,4
1.877,1018
1.888,4
1.898,1018
1.908,4
1.918,1017
1.929,4
1.939,1017
1.949,4
1.959,1017
1.97,6
1.98,1017
1.991,31
2.0,984
2.011,76
2.021,915
2.031,149
2.041,793
2.052,242
2.062,671
2.072,410
2.082,526
2.093,583
2.104,390
2.113,799
2.124,242
2.134,1002
2.144,89
2.154,1018
2.165,4
2.175,1018
2.185,4
2.195,1018
2.206,4
2.216,1018
2.227,4
2.236,1018
2.247,4
2.257,1018
2.267,4
2.277,1018
2.288,4
2.298,1018
2.308,4
2.318,1017
2.329,4
2.338,1018
2.349,4
2.359,1017
2.37,5
2.38,1017
2.39,21
2.4,998
2.411,59
2.42,940
2.43,132
2.441,816
2.452,223
2.462,703
2.472,371
2.483,565
2.492,546
2.503,419
2.513,738
2.523,287
2.533,949
2.544,134
2.555,1018
2.565,4
2.575,1018
2.585,4
2.595,1018
2.605,4
2.616,1018
2.626,4
2.635,1018
2.647,4
2.657,1018
2.667,4
2.678,1018
2.688,4
2.698,1018
2.708,4
2.718,1018
2.729,4
2.739,1017
2.749,4
2.759,1017
2.771,4
2.78,1017
2.79,19
2.8,1010
2.811,59
2.821,943
2.832,124
2.841,832
2.852,228
2.862,708
2.872,382
2.882,550
2.893,548
2.904,443
2.913,756
2.924,290
2.934,972
2.943,156
2.954,1018
2.965,19
2.975,1018
2.985,4
2.995,1018
