Timestamp,Sensor Data
0.001,0
0.511,1021
0.521,0
0.53,1021
0.541,0
0.551,1020
0.562,0
0.571,1020
0.582,0
0.592,1020
0.603,0
0.613,1020
0.623,0
0.633,1020
0.644,0
0.653,1020
0.664,0
0.673,1020
0.685,0
0.694,1020
0.704,0
0.715,1020
0.725,0
0.736,1020
0.746,0
0.755,1020
0.767,927
0.777,1019
0.787,1022
0.797,1019
0.809,1022
0.818,0
0.828,1022
0.838,0
0.849,1022
0.859,0
0.87,1022
0.88,0
0.889,1022
0.901,0
0.909,1022
0.92,0
0.931,1020
0.941,0
0.95,1020
0.961,0
0.971,1020
0.982,0
0.992,1020
1.003,0
1.012,1020
1.022,0
1.033,1020
1.044,0
1.053,1020
1.063,0
1.074,1020
1.084,0
1.095,1021
1.105,0
1.115,1020
1.125,0
1.135,1020
1.146,0
1.155,1020
1.167,386
1.177,1019
1.187,1021
1.198,1019
1.208,1022
1.218,251
1.228,1022
1.238,0
1.249,1022
1.259,0
1.269,1022
1.279,0
1.289,1022
1.3,0
1.309,1021
1.319,0
1.33,1020
1.341,0
1.351,1020
1.362,0
1.371,1020
1.383,0
1.392,1020
1.404,0
1.412,1020
1.423,0
1.433,1020
1.443,0
1.454,1020
1.464,0
1.474,1020
1.485,0
1.494,1020
1.505,0
1.515,1020
1.525,0
1.535,1020
1.546,0
1.555,1020
1.566,1019
1.576,1019
1.586,1022
1.597,1019
1.607,1022
1.618,0
1.628,1022
1.638,0
1.649,1022
1.659,0
1.668,1022
1.68,0
1.689,1022
1.7,0
1.711,1021
1.721,0
1.73,1020
1.74,0
1.751,1020
1.761,0
1.771,1020
1.782,0
1.792,1020
1.804,0
1.812,1020
1.822,0
1.833,1020
1.843,0
1.853,1020
1.864,0
1.874,1020
1.885,0
1.894,1020
1.905,0
1.915,1020
1.925,0
1.935,1020
1.946,0
1.955,1020
1.967,1021
1.977,1019
1.987,1022
1.997,1019
2.007,1022
2.019,0
2.027,1022
2.038,0
2.048,1022
2.059,0
2.069,1022
2.08,0
2.089,1022
2.1,0
2.111,1021
2.121,0
2.13,1020
2.14,0
2.151,1020
2.161,0
2.172,1020
2.182,0
2.192,1020
2.203,0
2.212,1020
2.223,0
2.232,1020
2.244,0
2.254,1020
2.265,0
2.274,1020
2.284,0
2.294,1020
2.304,0
2.314,1020
2.325,0
2.335,1020
2.346,0
2.356,1020
2.367,1021
2.376,1019
2.387,1022
2.397,1019
2.407,1022
2.419,0
2.428,1022
2.439,0
2.449,1022
2.458,0
2.468,1022
2.48,0
2.489,1022
2.5,0
2.51,1021
2.52,0
2.53,1020
2.541,0
2.551,1020
2.562,0
2.571,1020
2.582,0
2.591,1020
2.603,0
2.612,1020
2.623,0
2.633,1020
2.643,0
2.654,1020
2.664,0
2.674,1020
2.685,0
2.694,1020
2.704,0
2.715,1020
2.725,0
2.735,1020
2.746,0
2.756,1020
2.766,1021
2.776,1019
2.787,1022
2.797,1019
2.808,1022
2.819,0
2.828,1022
2.838,0
2.849,1022
2.859,0
2.869,1022
2.88,0
2.89,1022
2.9,0
2.91,1021
2.92,0
2.93,1020
2.941,0
2.951,1020
2.961,0
2.971,1020
2.982,0
2.992,1020
