Timestamp,Sensor Data
0.001,0
0.519,1021
0.53,0
0.539,1020
0.551,0
0.561,1020
0.571,0
0.581,1020
0.591,0
0.602,1020
0.613,0
0.622,1020
0.633,0
0.643,1020
0.653,0
0.663,1020
0.674,0
0.683,1020
0.694,0
0.704,1020
0.714,0
0.725,1020
0.735,0
0.745,1020
0.756,0
0.765,1020
0.775,404
0.786,1019
0.797,1021
0.807,1019
0.817,1022
0.828,6
0.838,1022
0.848,0
0.857,1022
0.869,0
0.878,1022
0.889,0
0.899,1022
0.909,0
0.919,1021
0.931,0
0.94,1020
0.951,0
0.96,1020
0.971,0
0.981,1020
0.992,0
1.002,1020
1.012,0
1.022,1020
1.032,0
1.042,1020
1.053,0
1.063,1020
1.074,0
1.084,1020
1.094,0
1.104,1020
1.115,0
1.124,1020
1.135,0
1.145,1020
1.155,0
1.166,1020
1.176,1019
1.186,1019
1.197,1022
1.207,1019
1.218,1022
1.228,0
1.238,1022
1.248,0
1.258,1022
1.269,0
1.278,1022
1.289,0
1.3,1022
1.31,0
1.32,1021
1.33,0
1.34,1020
1.351,0
1.361,1020
1.372,0
1.381,1020
1.391,0
1.402,1020
1.412,0
1.423,1020
1.433,0
1.442,1020
1.454,0
1.463,1020
1.473,0
1.484,1020
1.494,0
1.505,1020
1.515,0
1.524,1020
1.535,0
1.545,1020
1.555,0
1.565,1020
1.575,1021
1.586,1019
1.596,1022
1.606,1019
1.617,1022
1.628,0
1.638,1022
1.648,0
1.658,1022
1.669,0
1.678,1022
1.69,0
1.699,1022
1.71,0
1.72,1021
1.73,0
1.74,1020
1.751,0
1.76,1020
1.771,0
1.782,1020
1.792,0
1.803,1020
1.812,0
1.822,1020
1.834,0
1.842,1020
1.853,0
1.863,1020
1.874,0
1.883,1020
1.894,0
1.904,1020
1.915,0
1.925,1020
1.935,0
1.945,1020
1.957,0
1.966,1020
1.976,1021
1.986,1019
1.997,1022
2.007,1019
2.018,1022
2.028,0
2.038,1022
2.049,0
2.058,1022
2.069,0
2.079,1022
2.09,0
2.099,1021
2.11,0
2.119,1020
2.131,0
2.141,1020
2.151,0
2.159,1020
2.172,0
2.181,1020
2.192,0
2.202,1020
2.212,0
2.223,1020
2.232,0
2.242,1020
2.253,0
2.263,1020
2.273,0
2.283,1020
2.294,0
2.304,1020
2.314,0
2.324,1020
2.335,0
2.345,1020
2.356,71
2.366,1019
2.376,1021
2.387,1019
2.397,1022
2.407,1019
2.418,1022
2.428,0
2.438,1022
2.448,0
2.458,1022
2.469,0
2.478,1022
2.489,0
2.5,1021
2.509,0
2.519,1020
2.53,0
2.539,1020
2.551,0
2.56,1020
2.571,0
2.582,1020
2.592,0
2.601,1020
2.612,0
2.622,1020
2.633,0
2.642,1020
2.653,0
2.663,1020
2.673,0
2.684,1020
2.695,0
2.704,1021
2.714,0
2.724,1020
2.734,0
2.744,1020
2.755,1021
2.766,1019
2.777,1022
2.787,1019
2.797,1022
2.807,0
2.817,1022
2.827,0
2.838,1022
2.848,0
2.858,1022
2.87,0
2.879,1022
2.891,0
2.899,1021
2.91,0
2.92,1020
2.93,0
2.94,1020
2.951,0
2.961,1020
2.972,0
2.982,1020
2.992,0
