Timestamp,Sensor Data
0.003,1022
0.506,0
0.516,1022
0.527,0
0.537,1022
0.547,0
0.556,1020
0.568,0
0.577,1021
0.588,0
0.598,1020
0.609,0
0.619,1020
0.629,0
0.639,1020
0.65,0
0.659,1020
0.67,0
0.68,1020
0.69,0
0.7,1020
0.711,0
0.721,1020
0.732,0
0.742,1020
0.752,0
0.762,1020
0.773,0
0.783,1020
0.793,1021
0.804,1019
0.814,1022
0.823,1019
0.835,1022
0.845,0
0.855,1022
0.865,0
0.875,1022
0.886,0
0.895,1022
0.907,0
0.916,1022
0.927,0
0.937,1021
0.947,0
0.957,1020
0.968,0
0.977,1020
0.988,0
0.998,1020
1.009,0
1.019,1020
1.029,0
1.039,1020
1.05,0
1.059,1020
1.071,0
1.08,1020
1.091,0
1.101,1020
1.111,0
1.121,1020
1.132,0
1.141,1020
1.152,0
1.162,1020
1.173,0
1.183,1020
1.193,1021
1.204,1019
1.214,1022
1.224,1019
1.234,1022
1.244,0
1.255,1022
1.265,0
1.275,1022
1.286,0
1.295,1022
1.307,0
1.316,1022
1.327,0
1.337,1021
1.348,0
1.357,1020
1.367,0
1.377,1020
1.388,0
1.398,1020
1.408,0
1.418,1020
1.429,0
1.439,1020
1.45,0
1.459,1020
1.47,0
1.48,1020
1.491,0
1.501,1020
1.511,0
1.522,1020
1.532,0
1.541,1020
1.552,0
1.562,1020
1.572,0
1.582,1020
1.592,1021
1.603,1019
1.614,1022
1.624,1019
1.634,1022
1.645,0
1.655,1022
1.665,0
1.675,1022
1.686,0
1.696,1022
1.706,0
1.716,1022
1.727,0
1.736,1020
1.747,0
1.756,1020
1.767,0
1.777,1020
1.788,0
1.798,1020
1.808,0
1.818,1020
1.829,0
1.838,1020
1.85,0
1.859,1020
1.87,0
1.881,1020
1.891,0
1.901,1020
1.912,0
1.922,1021
1.931,0
1.941,1020
1.952,0
1.962,1020
1.974,0
1.983,1020
1.993,1021
2.004,1019
2.014,1022
2.024,1019
2.035,1022
2.045,0
2.056,1022
2.066,0
2.075,1022
2.086,0
2.096,1022
2.107,0
2.117,1021
2.127,0
2.137,1021
2.147,0
2.156,1020
2.168,0
2.177,1020
2.189,0
2.199,1020
2.209,0
2.218,1020
2.229,0
2.239,1020
2.25,0
2.26,1020
2.271,0
2.28,1020
2.29,0
2.301,1020
2.311,0
2.321,1020
2.332,0
2.341,1020
2.352,0
2.362,1020
2.373,97
2.383,1019
2.393,1021
2.404,1019
2.414,1022
2.425,1019
2.435,1022
2.445,0
2.455,1022
2.465,0
2.475,1022
2.486,0
2.496,1022
2.507,0
2.516,1022
2.526,0
2.536,1020
2.546,0
2.556,1020
2.567,0
2.578,1020
2.588,0
2.598,1020
2.609,0
2.619,1020
2.629,0
2.64,1020
2.65,0
2.66,1020
2.671,0
2.681,1020
2.691,0
2.701,1020
2.711,0
2.723,1020
2.732,0
2.742,1020
2.753,0
2.762,1020
2.774,1021
2.784,1019
2.794,1022
2.804,1019
2.815,1022
2.825,0
2.834,1022
2.845,0
2.855,1022
2.866,0
2.876,1022
2.887,0
2.896,1022
2.907,0
2.916,1021
2.927,0
2.937,1020
2.948,0
2.957,1020
2.969,0
2.978,1020
2.988,0
2.998,1020
