Timestamp,Sensor Data
0.001,0
0.512,1020
0.523,0
0.532,1021
0.543,0
0.553,1020
0.563,0
0.574,1020
0.583,0
0.593,1020
0.605,0
0.614,1020
0.624,0
0.634,1020
0.644,0
0.655,1020
0.665,0
0.675,1020
0.686,0
0.695,1020
0.706,0
0.716,1020
0.727,1021
0.737,1019
0.747,1022
0.758,1019
0.769,1022
0.778,0
0.788,1022
0.799,0
0.809,1022
0.82,0
0.829,1022
0.841,0
0.85,1022
0.86,0
0.871,1021
0.882,0
0.89,1020
0.902,0
0.911,1020
0.922,0
0.932,1020
0.943,0
0.952,1020
0.963,0
0.974,1020
0.984,0
0.994,1020
1.004,0
1.014,1020
1.024,0
1.034,1020
1.045,0
1.055,1021
1.066,0
1.075,1020
1.087,0
1.096,1020
1.107,0
1.116,1020
1.127,1021
1.137,1019
1.147,1022
1.157,1019
1.168,1022
1.178,0
1.188,1022
1.199,0
1.209,1022
1.22,0
1.229,1022
1.241,0
1.249,1022
1.26,0
1.27,1021
1.281,0
1.291,1020
1.302,0
1.311,1020
1.323,0
1.332,1020
1.342,0
1.352,1020
1.362,0
1.373,1020
1.383,0
1.393,1020
1.404,0
1.414,1020
1.424,0
1.434,1020
1.445,0
1.455,1020
1.465,0
1.475,1020
1.487,0
1.496,1020
1.506,0
1.517,1019
1.527,1021
1.537,1019
1.547,1022
1.557,1019
1.567,1022
1.578,0
1.587,1022
1.599,0
1.609,1022
1.62,0
1.629,1022
1.64,0
1.65,1022
1.66,0
1.67,1020
1.681,0
1.691,1020
1.701,0
1.712,1020
1.722,0
1.732,1020
1.743,0
1.753,1020
1.763,0
1.774,1020
1.784,0
1.793,1020
1.804,0
1.813,1020
1.824,0
1.835,1021
1.845,0
1.855,1020
1.866,0
1.875,1020
1.886,0
1.896,1020
1.907,1017
1.917,1019
1.927,1022
1.937,1019
1.947,1022
1.958,0
1.968,1022
1.978,0
1.988,1022
1.998,0
2.008,1022
2.019,0
2.029,1022
2.04,0
2.05,1021
2.061,0
2.071,1020
2.081,0
2.091,1020
2.102,0
2.111,1020
2.122,0
2.132,1020
2.142,0
2.153,1020
2.163,0
2.173,1020
2.183,0
2.194,1020
2.204,0
2.213,1021
2.225,0
2.234,1020
2.245,0
2.256,1020
2.266,0
2.275,1020
2.287,0
2.296,1020
2.307,1021
2.317,1019
2.328,1022
2.337,1019
2.348,1022
2.358,0
2.368,1022
2.379,0
2.389,1022
2.4,0
2.409,1022
2.42,0
2.43,1022
2.441,0
2.45,1021
2.46,0
2.471,1020
2.482,0
2.492,1020
2.502,0
2.511,1020
2.523,0
2.532,1020
2.542,0
2.553,1020
2.563,0
2.573,1020
2.584,0
2.594,1020
2.604,0
2.614,1020
2.625,0
2.634,1020
2.645,0
2.655,1020
2.666,0
2.675,1020
2.686,0
2.695,1020
2.708,1021
2.717,1019
2.727,1022
2.738,1019
2.748,1022
2.759,0
2.768,1022
2.779,0
2.789,1022
2.8,0
2.809,1022
2.82,0
2.83,1022
2.84,0
2.85,1021
2.861,0
2.871,1020
2.881,0
2.891,1020
2.901,0
2.911,1020
2.923,0
2.932,1020
2.943,0
2.953,1020
2.964,0
2.974,1020
2.984,0
2.994,1020
