Timestamp,Sensor Data
0.0,0
0.01,1020
0.02,1021
0.031,1019
0.04,1022
0.052,1019
0.062,1022
0.071,0
0.082,1022
0.092,0
0.103,1022
0.113,0
0.122,1022
0.133,0
0.143,1022
0.154,0
0.164,1021
0.174,0
0.184,1020
0.195,0
0.204,1020
0.215,0
0.225,1020
0.237,0
0.245,1020
0.256,0
0.266,1020
0.277,0
0.287,1020
0.297,0
0.307,1020
0.318,0
0.327,1020
0.338,0
0.348,1020
0.358,0
0.368,1020
0.379,0
0.389,1020
0.4,0
0.41,1020
0.42,1021
0.43,1019
0.44,1022
0.451,1019
0.462,1022
0.472,0
0.482,1022
0.492,0
0.502,1022
0.513,0
0.523,1022
0.533,0
0.543,1022
0.554,0
0.564,1021
0.574,0
0.584,1020
0.595,0
0.605,1020
0.615,0
0.625,1020
0.637,0
0.646,1020
0.656,0
0.667,1020
0.677,0
0.687,1020
0.698,0
0.707,1020
0.718,0
0.728,1020
0.739,0
0.748,1020
0.759,0
0.768,1020
0.78,0
0.79,1020
0.8,0
0.809,1020
0.821,1021
0.832,1019
0.841,1022
0.852,1019
0.862,1022
0.872,0
0.882,1022
0.892,0
0.903,1022
0.913,0
0.922,1022
0.933,0
0.943,1022
0.954,0
0.964,1021
0.974,0
0.984,1020
0.995,0
1.004,1020
1.016,0
1.025,1020
1.035,0
1.045,1020
1.056,0
1.065,1020
1.076,0
1.086,1020
1.096,0
1.106,1020
1.118,0
1.127,1020
1.138,0
1.148,1020
1.159,0
1.169,1020
1.18,0
1.189,1020
1.201,0
1.21,1020
1.22,1021
1.23,1019
1.241,1022
1.251,1019
1.261,1022
1.271,0
1.282,1022
1.293,0
1.302,1022
1.313,0
1.322,1022
1.333,0
1.343,1022
1.354,0
1.364,1021
1.374,0
1.384,1020
1.395,0
1.405,1020
1.416,0
1.425,1020
1.436,0
1.446,1020
1.456,0
1.467,1020
1.476,0
1.487,1020
1.498,0
1.507,1020
1.518,0
1.527,1020
1.538,0
1.548,1020
1.559,0
1.569,1020
1.579,0
1.589,1020
1.6,0
1.61,1020
1.621,1021
1.631,1019
1.64,1022
1.652,1019
1.662,1022
1.672,0
1.682,1022
1.692,0
1.702,1022
1.713,0
1.722,1022
1.734,0
1.743,1021
1.754,0
1.764,1020
1.775,0
1.784,1020
1.795,0
1.805,1020
1.816,0
1.825,1020
1.836,0
1.846,1020
1.856,0
1.867,1020
1.877,0
1.888,1020
1.898,0
1.907,1020
1.918,0
1.928,1020
1.939,0
1.949,1020
1.958,0
1.968,1020
1.98,0
1.989,1020
2.0,166
2.01,1019
2.021,1021
2.031,1019
2.04,1022
2.052,1019
2.062,1022
2.072,0
2.082,1022
2.092,0
2.103,1022
2.113,0
2.122,1022
2.134,0
2.143,1021
2.154,0
2.164,1020
2.175,0
2.185,1020
2.195,0
2.205,1020
2.216,0
2.225,1020
2.236,0
2.245,1020
2.256,0
2.266,1020
2.276,0
2.287,1020
2.298,0
2.307,1020
2.318,0
2.328,1020
2.338,0
2.349,1020
2.359,0
2.369,1020
2.379,0
2.389,1020
2.4,1021
2.411,1019
2.421,1022
2.431,1019
2.441,1022
2.451,0
2.461,1022
2.472,0
2.482,1022
2.492,0
2.502,1022
2.513,0
2.523,1022
2.534,0
2.544,1021
2.555,0
2.564,1020
2.574,0
2.584,1020
2.595,0
2.604,1020
2.616,0
2.626,1020
2.637,0
2.646,1020
2.657,0
2.667,1020
2.676,0
2.686,1020
2.698,0
2.707,1020
2.718,0
2.728,1020
2.738,0
2.748,1020
2.759,0
2.769,1020
2.78,0
2.789,1020
2.8,1021
2.81,1019
2.822,1022
2.831,1019
2.841,1022
2.852,0
2.862,1022
2.872,0
2.882,1022
2.892,0
2.903,1022
2.913,0
2.922,1022
2.933,0
2.943,1021
2.954,0
2.964,1020
2.975,0
2.984,1020
2.995,0
