Timestamp,Sensor Data
0.0,1019
0.011,1022
0.021,1019
0.031,1022
0.042,0
0.051,1022
0.062,0
0.072,1022
0.082,0
0.093,1022
0.103,0
0.113,1021
0.123,0
0.133,1020
0.144,0
0.153,1020
0.163,0
0.174,1020
0.184,0
0.193,1020
0.205,0
0.214,1020
0.225,0
0.235,1020
0.245,0
0.256,1020
0.266,0
0.276,1020
0.287,0
0.297,1020
0.307,0
0.317,1020
0.328,0
0.337,1020
0.347,0
0.358,1020
0.368,1021
0.379,1019
0.389,1022
0.4,1019
0.41,1022
0.42,0
0.43,1022
0.441,0
0.45,1022
0.461,0
0.471,1022
0.481,0
0.491,1022
0.502,0
0.512,1020
0.522,0
0.532,1020
0.543,0
0.553,1020
0.563,0
0.573,1020
0.584,0
0.594,1020
0.605,0
0.615,1020
0.625,0
0.635,1020
0.645,0
0.655,1020
0.666,0
0.676,1020
0.687,0
0.696,1020
0.707,0
0.717,1020
0.727,0
0.737,1020
0.748,0
0.758,1020
0.769,1021
0.779,1018
0.789,1022
0.799,1019
0.81,1022
0.82,0
0.83,1022
0.841,0
0.851,1022
0.861,0
0.871,1022
0.882,0
0.892,1022
0.902,0
0.913,1020
0.923,0
0.933,1020
0.944,0
0.953,1020
0.964,0
0.975,1020
0.985,0
0.995,1020
1.006,0
1.015,1020
1.025,0
1.035,1020
1.046,0
1.055,1020
1.066,0
1.076,1020
1.086,0
1.096,1020
1.107,0
1.117,1020
1.129,0
1.137,1020
1.148,1021
1.159,1019
1.17,1022
1.179,1019
1.19,1022
1.201,0
1.21,1022
1.22,0
1.23,1022
1.241,0
1.251,1022
1.262,0
1.272,1022
1.282,0
1.292,1021
1.302,0
1.312,1020
1.323,0
1.333,1020
1.344,0
1.353,1020
1.364,0
1.374,1020
1.384,0
1.395,1020
1.405,0
1.415,1020
1.426,0
1.436,1020
1.446,0
1.456,1020
1.467,0
1.477,1020
1.487,0
1.497,1020
1.508,0
1.517,1020
1.528,0
1.539,1020
1.549,1021
1.56,1019
1.57,1022
1.58,1019
1.589,1022
1.6,0
1.61,1022
1.621,0
1.63,1022
1.641,0
1.651,1022
1.662,0
1.671,1022
1.683,0
1.693,1021
1.702,0
1.712,1020
1.723,0
1.733,1020
1.744,0
1.753,1020
1.764,0
1.775,1020
1.785,0
1.795,1020
1.806,0
1.815,1020
1.825,0
1.835,1020
1.846,0
1.856,1020
1.866,0
1.876,1020
1.888,0
1.897,1020
1.908,0
1.917,1020
1.929,0
1.938,1020
1.948,1021
1.959,1019
1.97,1022
1.98,1019
1.99,1022
2.0,0
2.01,1022
2.021,0
2.031,1022
2.041,0
2.051,1022
2.062,0
2.071,1021
2.082,0
2.092,1020
2.102,0
2.113,1020
2.123,0
2.133,1020
2.143,0
2.154,1020
2.164,0
2.174,1020
2.185,0
2.195,1020
2.205,0
2.215,1020
2.226,0
2.236,1020
2.247,0
2.256,1020
2.266,0
2.276,1020
2.287,0
2.297,1020
2.308,0
2.317,1020
2.328,1021
2.338,1019
2.349,1022
2.359,1019
2.369,1022
2.38,0
2.39,1022
2.4,0
2.41,1022
2.421,0
2.43,1022
2.441,0
2.451,1022
2.462,0
2.471,1021
2.482,0
2.492,1020
2.502,0
2.512,1020
2.523,0
2.533,1020
2.545,0
2.554,1020
2.564,0
2.575,1020
2.584,0
2.595,1020
2.605,0
2.615,1020
2.627,0
2.635,1020
2.646,0
2.656,1020
2.667,0
2.676,1020
2.686,0
2.696,1020
2.707,0
2.717,1020
2.729,1021
2.739,1019
2.749,1022
2.76,1019
2.769,1022
2.78,0
2.789,1022
2.8,0
2.81,1022
2.82,0
2.83,1022
2.841,0
2.851,1022
2.862,0
2.872,1021
2.882,0
2.892,1020
2.903,0
2.912,1020
2.924,0
2.933,1020
2.944,0
2.953,1020
2.964,0
2.974,1020
2.984,0
2.995,1020
