Timestamp,Sensor Data
0.0,1019
0.011,1022
0.021,1019
0.031,1022
0.041,0
0.052,1022
0.061,0
0.071,1022
0.082,0
0.092,1022
0.103,0
0.113,1022
0.123,0
0.133,1021
0.144,0
0.154,1020
0.164,0
0.174,1020
0.185,0
0.194,1020
0.205,0
0.215,1020
0.225,0
0.236,1020
0.247,0
0.256,1020
0.267,0
0.276,1020
0.287,0
0.298,1020
0.308,0
0.317,1020
0.328,0
0.338,1020
0.349,0
0.358,1020
0.369,0
0.379,1020
0.39,1020
0.4,1019
0.411,1022
0.421,1019
0.431,1022
0.441,0
0.452,1022
0.462,0
0.471,1022
0.482,0
0.492,1022
0.503,0
0.512,1022
0.523,0
0.533,1021
0.544,0
0.554,1020
0.565,0
0.574,1020
0.584,0
0.594,1020
0.604,0
0.615,1020
0.626,0
0.635,1020
0.646,0
0.656,1020
0.666,0
0.676,1020
0.687,0
0.697,1020
0.707,0
0.717,1020
0.728,0
0.737,1020
0.748,0
0.758,1020
0.769,0
0.779,1020
0.789,1020
0.8,1019
0.81,1022
0.82,1018
0.831,1022
0.841,10
0.851,1022
0.861,0
0.871,1022
0.882,0
0.892,1022
0.903,0
0.912,1022
0.923,0
0.933,1022
0.944,0
0.953,1020
0.964,0
0.974,1020
0.984,0
0.994,1020
1.005,0
1.015,1020
1.025,0
1.035,1020
1.046,0
1.056,1020
1.066,0
1.076,1020
1.086,0
1.096,1020
1.107,0
1.118,1020
1.128,0
1.138,1020
1.149,0
1.159,1020
1.169,0
1.179,1020
1.19,1020
1.2,1019
1.21,1022
1.22,1019
1.231,1022
1.241,0
1.251,1022
1.261,0
1.271,1022
1.282,0
1.292,1022
1.303,0
1.312,1022
1.323,0
1.333,1022
1.343,0
1.354,1020
1.365,0
1.374,1020
1.386,0
1.395,1020
1.405,0
1.415,1020
1.425,0
1.436,1020
1.447,0
1.456,1020
1.467,0
1.476,1020
1.487,0
1.497,1020
1.507,0
1.518,1020
1.528,0
1.538,1020
1.549,0
1.559,1020
1.57,0
1.58,1020
1.59,816
1.6,1019
1.61,1021
1.621,1019
1.631,1022
1.641,953
1.651,1022
1.661,0
1.671,1022
1.681,0
1.692,1022
1.703,0
1.712,1022
1.723,0
1.733,1021
1.744,0
1.754,1020
1.764,0
1.774,1020
1.785,0
1.795,1020
1.806,0
1.816,1020
1.826,0
1.837,1020
1.847,0
1.856,1020
1.867,0
1.877,1020
1.887,0
1.897,1020
1.908,0
1.918,1020
1.928,0
1.938,1020
1.95,0
1.959,1020
1.969,0
1.98,1020
1.989,436
1.999,1019
2.011,1021
2.021,1019
2.031,1022
2.041,1019
2.052,1022
2.061,0
2.072,1022
2.083,0
2.092,1022
2.103,0
2.112,1022
2.124,0
2.134,1021
2.143,0
2.154,1020
2.165,0
2.174,1020
2.185,0
2.195,1020
2.206,0
2.215,1020
2.226,0
2.236,1020
2.246,0
2.256,1020
2.267,0
2.277,1020
2.288,0
2.297,1020
2.307,0
2.318,1020
2.328,0
2.338,1020
2.35,0
2.359,1020
2.369,0
2.38,1020
2.39,1021
2.4,1019
2.41,1022
2.421,1019
2.431,1022
2.441,0
2.451,1022
2.462,0
2.472,1022
2.483,0
2.492,1022
2.503,0
2.512,1022
2.524,0
2.534,1021
2.544,0
2.554,1020
2.565,0
2.574,1020
2.585,0
2.594,1020
2.605,0
2.616,1020
2.626,0
2.636,1020
2.646,0
2.656,1020
2.667,0
2.677,1020
2.687,0
2.697,1020
2.708,0
2.718,1020
2.728,0
2.739,1020
2.75,0
2.759,1020
2.77,0
2.779,1020
2.79,1021
2.8,1019
2.81,1022
2.82,1019
2.831,1022
2.841,0
2.851,1022
2.862,0
2.871,1022
2.882,0
2.892,1022
2.903,0
2.913,1022
2.923,0
2.933,1021
2.943,0
2.953,1020
2.964,0
2.974,1020
2.985,0
2.994,1020
