Timestamp,Sensor Data
0.0,0
0.011,1020
0.021,0
0.031,1020
0.041,0
0.051,1020
0.062,0
0.071,1020
0.082,0
0.091,1020
0.102,0
0.112,1020
0.122,1021
0.133,1018
0.143,1022
0.154,1019
0.164,1022
0.174,0
0.185,1022
0.195,0
0.205,1022
0.216,0
0.225,1022
0.235,0
0.246,1022
0.256,0
0.267,1021
0.277,0
0.287,1020
0.297,0
0.307,1020
0.317,0
0.328,1020
0.338,0
0.348,1020
0.358,0
0.368,1020
0.38,0
0.389,1020
0.4,0
0.41,1020
0.42,0
0.43,1020
0.441,0
0.452,1020
0.462,0
0.471,1020
0.481,0
0.491,1020
0.501,0
0.512,1020
0.522,1021
0.533,1019
0.543,1022
0.554,1019
0.564,1022
0.575,0
0.584,1022
0.595,0
0.605,1022
0.615,0
0.625,1022
0.636,0
0.646,1022
0.656,0
0.667,1020
0.677,0
0.687,1020
0.698,0
0.707,1020
0.718,0
0.727,1020
0.738,0
0.748,1020
0.759,0
0.769,1020
0.78,0
0.789,1020
0.8,0
0.809,1020
0.82,0
0.831,1020
0.84,0
0.85,1020
0.862,0
0.871,1020
0.881,0
0.892,1020
0.903,387
0.912,1018
0.923,1021
0.933,1019
0.944,1022
0.954,1019
0.964,1022
0.974,0
0.984,1022
0.995,0
1.004,1022
1.015,0
1.025,1022
1.036,0
1.046,1021
1.056,0
1.066,1020
1.076,0
1.086,1020
1.098,0
1.107,1020
1.119,0
1.128,1020
1.139,0
1.148,1020
1.159,0
1.169,1020
1.179,0
1.188,1020
1.2,0
1.21,1020
1.22,0
1.23,1020
1.24,0
1.25,1020
1.261,0
1.271,1020
1.282,0
1.291,1020
1.303,1021
1.313,1019
1.324,1022
1.333,1019
1.344,1022
1.354,0
1.365,1022
1.374,0
1.385,1022
1.395,0
1.404,1022
1.416,0
1.425,1022
1.436,0
1.446,1021
1.457,0
1.467,1020
1.477,0
1.487,1020
1.498,0
1.507,1020
1.519,0
1.528,1020
1.538,0
1.549,1020
1.559,0
1.569,1020
1.58,0
1.59,1020
1.601,0
1.61,1020
1.621,0
1.631,1020
1.641,0
1.651,1020
1.661,0
1.671,1020
1.681,0
1.692,1020
1.703,1021
1.713,1019
1.723,1022
1.733,1019
1.744,1022
1.754,0
1.764,1022
1.775,0
1.785,1022
1.795,0
1.805,1022
1.816,0
1.825,1022
1.836,0
1.846,1020
1.857,0
1.866,1020
1.877,0
1.887,1020
1.897,0
1.907,1020
1.918,0
1.927,1020
1.938,0
1.949,1020
1.96,0
1.97,1020
1.979,0
1.989,1020
2.0,0
2.01,1020
2.02,0
2.03,1020
2.041,0
2.052,1020
2.062,0
2.071,1020
2.082,1020
2.092,1018
2.103,1021
2.113,1019
2.123,1022
2.133,4
2.143,1022
2.155,0
2.164,1022
2.175,0
2.185,1022
2.195,0
2.205,1021
2.215,0
2.225,1021
2.237,0
2.246,1020
2.256,0
2.267,1020
2.277,0
2.287,1020
2.298,0
2.307,1020
2.318,0
2.328,1020
2.338,0
2.348,1020
2.359,0
2.369,1020
2.379,0
2.389,1020
2.401,0
2.41,1020
2.421,0
2.43,1020
2.441,0
2.451,1020
2.462,0
2.472,1020
2.487,1021
2.502,1018
2.502,1022
2.513,1019
2.523,1022
2.533,0
2.543,1022
2.554,0
2.564,1022
2.575,0
2.585,1022
2.596,0
2.605,1022
2.616,0
2.626,1021
2.636,0
2.646,1020
2.657,0
2.667,1020
2.677,0
2.687,1020
2.698,0
2.708,1020
2.718,0
2.728,1020
2.739,0
2.749,1020
2.759,0
2.769,1020
2.78,0
2.789,1020
2.8,0
2.81,1020
2.821,0
2.831,1020
2.841,0
2.851,1020
2.862,0
2.872,1020
2.882,1021
2.893,1019
2.903,1022
2.913,1019
2.923,1022
2.934,0
2.944,1022
2.954,0
2.964,1022
2.974,0
2.985,1022
2.995,0
