Timestamp,Sensor Data
0.0,1019
0.011,1022
0.021,0
0.032,1022
0.042,0
0.052,1022
0.062,0
0.072,1022
0.082,0
0.092,1022
0.103,0
0.113,1021
0.124,0
0.134,1020
0.144,0
0.153,1020
0.165,0
0.175,1020
0.186,0
0.195,1020
0.205,0
0.216,1020
0.226,0
0.236,1020
0.246,0
0.256,1020
0.268,0
0.277,1020
0.287,0
0.297,1020
0.307,0
0.318,1020
0.329,0
0.338,1020
0.35,0
0.359,1020
0.37,1021
0.38,1018
0.39,1022
0.401,1019
0.41,1022
0.421,0
0.431,1022
0.441,0
0.451,1022
0.462,0
0.471,1022
0.482,0
0.492,1021
0.502,0
0.512,1020
0.523,0
0.533,1020
0.544,0
0.554,1020
0.564,0
0.574,1020
0.584,0
0.595,1020
0.605,0
0.615,1020
0.626,0
0.635,1020
0.646,0
0.656,1020
0.667,0
0.677,1020
0.687,0
0.698,1020
0.708,0
0.718,1020
0.728,0
0.739,1020
0.75,0
0.759,1020
0.77,1021
0.78,1018
0.79,1022
0.802,1019
0.811,1022
0.821,0
0.831,1022
0.841,0
0.851,1022
0.862,0
0.872,1022
0.883,0
0.893,1021
0.904,0
0.913,1020
0.923,0
0.934,1020
0.944,0
0.954,1020
0.965,0
0.974,1020
0.986,0
0.995,1020
1.006,0
1.016,1020
1.026,0
1.036,1020
1.047,0
1.057,1020
1.067,0
1.077,1020
1.088,0
1.098,1020
1.108,0
1.118,1020
1.129,0
1.138,1020
1.149,900
1.16,1018
1.17,1022
1.181,1019
1.191,1022
1.202,0
1.211,1022
1.222,0
1.232,1022
1.242,0
1.252,1022
1.263,0
1.273,1022
1.283,0
1.293,1021
1.304,0
1.314,1020
1.324,0
1.334,1020
1.344,0
1.354,1020
1.365,0
1.375,1020
1.386,0
1.396,1021
1.406,0
1.415,1020
1.426,0
1.437,1020
1.447,0
1.457,1020
1.468,0
1.477,1020
1.487,0
1.498,1020
1.508,0
1.519,1020
1.53,0
1.538,1020
1.549,1021
1.56,1019
1.57,1022
1.58,1019
1.59,1022
1.601,0
1.611,1022
1.621,0
1.631,1022
1.642,0
1.652,1022
1.663,0
1.672,1022
1.683,0
1.692,1021
1.703,0
1.713,1020
1.724,0
1.734,1020
1.744,0
1.754,1020
1.765,0
1.775,1020
1.785,0
1.796,1020
1.806,0
1.815,1020
1.826,0
1.836,1020
1.847,0
1.857,1020
1.868,0
1.878,1020
1.888,0
1.898,1020
1.908,0
1.918,1020
1.929,0
1.938,1020
1.949,1021
1.96,1019
1.971,1022
1.98,1019
1.99,1022
2.001,0
2.011,1022
2.021,0
2.031,1022
2.042,0
2.052,1022
2.062,0
2.072,1022
2.083,0
2.092,1020
2.104,0
2.113,1020
2.123,0
2.134,1020
2.144,0
2.154,1020
2.164,0
2.174,1020
2.185,0
2.196,1020
2.205,0
2.216,1020
2.227,0
2.236,1020
2.247,0
2.256,1020
2.268,0
2.277,1020
2.288,0
2.298,1020
2.308,0
2.318,1020
2.329,0
2.338,1020
2.349,1021
2.359,1019
2.37,1022
2.38,1019
2.39,1022
2.4,0
2.411,1022
2.421,0
2.432,1022
2.442,0
2.452,1022
2.462,0
2.472,1021
2.483,0
2.492,1020
2.503,0
2.513,1020
2.524,0
2.534,1020
2.545,0
2.554,1020
2.565,0
2.575,1020
2.585,0
2.595,1020
2.605,0
2.615,1020
2.626,0
2.636,1020
2.646,0
2.656,1020
2.668,0
2.677,1020
2.689,0
2.698,1020
2.708,0
2.718,1020
2.729,747
2.738,1018
2.749,1022
2.759,1018
2.77,1022
2.78,0
2.79,1022
2.801,0
2.81,1022
2.822,0
2.831,1022
2.842,0
2.852,1022
2.862,0
2.872,1021
2.883,0
2.893,1020
2.903,0
2.913,1020
2.924,0
2.934,1020
2.944,0
2.954,1020
2.965,0
2.975,1020
2.985,0
2.995,1020
