Timestamp,Sensor Data
0.0,0
0.01,1020
0.02,0
0.031,1020
0.041,0
0.051,1020
0.062,0
0.071,1020
0.082,0
0.092,1020
0.103,0
0.112,1020
0.123,0
0.133,1020
0.143,0
0.154,1020
0.164,0
0.173,1020
0.184,1021
0.195,1019
0.205,1022
0.215,1019
0.225,1022
0.236,0
0.246,1022
0.256,0
0.267,1022
0.276,0
0.287,1022
0.298,0
0.307,1022
0.317,0
0.328,1021
0.338,0
0.348,1020
0.359,0
0.369,1020
0.379,0
0.389,1020
0.4,0
0.409,1020
0.421,0
0.43,1020
0.44,0
0.451,1020
0.461,0
0.471,1020
0.481,0
0.492,1020
0.503,0
0.512,1020
0.522,0
0.532,1020
0.543,0
0.553,1020
0.564,0
0.573,1019
0.584,1021
0.595,1019
0.605,1022
0.616,1019
0.626,1022
0.636,0
0.645,1022
0.656,0
0.666,1022
0.677,0
0.687,1022
0.698,0
0.707,1022
0.719,0
0.728,1020
0.738,0
0.748,1020
0.758,0
0.769,1020
0.779,0
0.789,1020
0.8,0
0.81,1020
0.821,0
0.83,1020
0.841,0
0.851,1020
0.861,0
0.871,1020
0.882,0
0.892,1020
0.903,0
0.912,1020
0.922,0
0.933,1020
0.943,0
0.953,1020
0.963,1021
0.974,1019
0.984,1022
0.994,1019
1.005,1022
1.015,0
1.025,1022
1.036,0
1.045,1022
1.056,0
1.066,1022
1.077,0
1.086,1022
1.097,0
1.107,1022
1.117,0
1.127,1020
1.139,0
1.148,1020
1.158,0
1.168,1020
1.179,0
1.189,1020
1.2,0
1.209,1020
1.22,0
1.231,1020
1.241,0
1.251,1020
1.261,0
1.271,1020
1.281,0
1.291,1020
1.302,0
1.312,1020
1.323,0
1.333,1020
1.342,0
1.352,1020
1.363,1021
1.373,1019
1.384,1022
1.394,1019
1.405,1022
1.416,0
1.425,1022
1.436,0
1.446,1022
1.456,0
1.466,1022
1.477,0
1.487,1022
1.498,0
1.507,1021
1.518,0
1.528,1020
1.539,0
1.548,1020
1.559,0
1.569,1020
1.579,0
1.59,1020
1.6,0
1.61,1020
1.621,0
1.63,1020
1.641,0
1.65,1020
1.661,0
1.671,1020
1.682,0
1.691,1020
1.703,0
1.712,1020
1.722,0
1.733,1020
1.743,0
1.753,1020
1.764,1021
1.774,1019
1.785,1022
1.795,1019
1.806,1022
1.815,0
1.825,1022
1.836,0
1.845,1022
1.857,0
1.866,1022
1.877,0
1.887,1022
1.897,0
1.907,1021
1.919,0
1.928,1020
1.938,0
1.949,1020
1.959,0
1.969,1020
1.979,0
1.989,1020
2.0,0
2.01,1020
2.021,0
2.03,1020
2.04,0
2.051,1020
2.061,0
2.071,1020
2.082,0
2.092,1020
2.102,0
2.112,1020
2.123,0
2.133,1020
2.143,0
2.154,1020
2.164,1021
2.174,1019
2.185,1022
2.195,1019
2.205,1022
2.216,0
2.225,1022
2.236,0
2.246,1022
2.256,0
2.266,1022
2.277,0
2.287,1022
2.297,0
2.307,1020
2.317,0
2.327,1020
2.339,0
2.348,1020
2.359,0
2.369,1020
2.379,0
2.39,1020
2.399,0
2.409,1020
2.421,0
2.43,1020
2.44,0
2.451,1020
2.461,0
2.471,1020
2.482,0
2.491,1020
2.502,0
2.512,1020
2.523,0
2.532,1020
2.543,717
2.553,1019
2.564,1021
2.574,1019
2.585,1022
2.595,1019
2.605,1022
2.616,0
2.625,1022
2.636,0
2.646,1022
2.656,0
2.666,1022
2.676,0
2.687,1021
2.698,0
2.707,1020
2.718,0
2.727,1020
2.739,0
2.748,1020
2.759,0
2.769,1020
2.779,0
2.789,1020
2.8,0
2.809,1020
2.82,0
2.83,1020
2.841,0
2.851,1020
2.861,0
2.872,1020
2.883,0
2.892,1020
2.903,0
2.912,1020
2.922,0
2.933,1020
2.943,1021
2.954,1018
2.965,1022
2.975,1019
2.985,1022
2.995,0
