Timestamp,Sensor Data
0.0,1020
0.52,0
0.53,1020
0.54,0
0.551,1020
0.56,0
0.57,1020
0.58,1021
0.591,1019
0.601,1022
0.611,1019
0.622,1022
0.632,0
0.642,1022
0.653,0
0.663,1022
0.673,0
0.683,1022
0.694,0
0.703,1022
0.714,0
0.724,1021
0.735,0
0.744,1020
0.755,0
0.765,1020
0.775,0
0.786,1020
0.796,0
0.806,1020
0.818,0
0.827,1020
0.838,0
0.847,1020
0.858,0
0.868,1020
0.878,0
0.889,1020
0.899,0
0.909,1020
0.919,0
0.929,1020
0.94,0
0.949,1020
0.96,0
0.97,1020
0.98,1021
0.99,1019
1.002,1022
1.011,1019
1.022,1022
1.033,0
1.042,1022
1.052,0
1.063,1022
1.073,0
1.084,1022
1.094,0
1.104,1022
1.115,0
1.124,1021
1.135,0
1.145,1020
1.156,0
1.165,1020
1.176,0
1.186,1020
1.197,0
1.206,1020
1.217,0
1.227,1020
1.238,0
1.247,1020
1.257,0
1.268,1020
1.278,0
1.288,1020
1.299,0
1.308,1020
1.319,0
1.33,1020
1.34,0
1.35,1020
1.36,0
1.371,1020
1.381,1021
1.391,1019
1.401,1022
1.412,1019
1.422,1022
1.432,0
1.442,1022
1.453,0
1.463,1022
1.473,0
1.483,1022
1.494,0
1.504,1022
1.515,0
1.524,1021
1.535,0
1.545,1020
1.555,0
1.565,1020
1.575,0
1.585,1020
1.595,0
1.606,1020
1.617,0
1.626,1020
1.637,0
1.647,1020
1.658,0
1.668,1020
1.678,0
1.688,1020
1.699,0
1.708,1020
1.72,0
1.729,1020
1.74,0
1.75,1020
1.761,0
1.771,1020
1.781,1021
1.791,1019
1.802,1022
1.812,1019
1.822,1022
1.832,0
1.842,1022
1.852,0
1.862,1022
1.873,0
1.883,1022
1.894,0
1.903,1022
1.915,0
1.924,1021
1.935,0
1.945,1020
1.956,0
1.965,1020
1.976,0
1.986,1020
1.996,0
2.006,1020
2.018,0
2.026,1020
2.037,0
2.048,1020
2.057,0
2.068,1020
2.078,0
2.088,1020
2.099,0
2.108,1020
2.12,0
2.129,1020
2.139,0
2.149,1020
2.16,0
2.171,1020
2.181,1021
2.191,1019
2.202,1022
2.211,1019
2.223,1022
2.233,0
2.242,1022
2.253,0
2.262,1022
2.274,0
2.283,1022
2.293,0
2.303,1022
2.314,0
2.324,1021
2.335,0
2.345,1020
2.356,0
2.365,1020
2.376,0
2.386,1020
2.396,0
2.406,1020
2.416,0
2.426,1020
2.437,0
2.447,1020
2.457,0
2.467,1020
2.479,0
2.488,1020
2.499,0
2.508,1020
2.52,0
2.529,1020
2.539,0
2.55,1020
2.56,0
2.57,1020
2.58,1021
2.592,1019
2.601,1022
2.611,1019
2.623,1022
2.632,0
2.642,1022
2.653,0
2.663,1022
2.673,0
2.683,1022
2.693,0
2.703,1022
2.714,0
2.724,1021
2.736,0
2.745,1020
2.756,0
2.766,1020
2.775,0
2.785,1020
2.796,0
2.806,1020
2.817,0
2.826,1020
2.837,0
2.846,1020
2.858,0
2.867,1020
2.878,0
2.888,1020
2.899,0
2.908,1020
2.92,0
2.929,1020
2.94,0
2.95,1020
2.96,0
2.971,1020
2.98,1021
2.991,1019
