Timestamp,Channel1,Channel2,Action1,Action2
0.001,519.0,568.0,Rest,
0.065,520.0,570.0,Rest,
0.065,516.0,571.0,Rest,
0.065,508.0,571.0,Rest,
0.065,497.0,568.0,Rest,
0.066,498.0,566.0,Rest,
0.066,499.0,573.0,Rest,
0.066,497.0,575.0,Rest,
0.066,500.0,573.0,Rest,
0.066,506.0,570.0,Rest,
0.066,510.0,569.0,Rest,
0.066,510.0,568.0,Rest,
0.066,509.0,567.0,Rest,
0.066,508.0,565.0,Rest,
0.066,507.0,564.0,Rest,
0.066,508.0,565.0,Rest,
0.066,507.0,565.0,Rest,
0.066,505.0,565.0,Rest,
0.066,506.0,564.0,Rest,
0.066,508.0,564.0,Rest,
0.066,510.0,562.0,Rest,
0.066,511.0,560.0,Rest,
0.066,517.0,558.0,Rest,
0.068,522.0,555.0,Rest,
0.068,522.0,554.0,Rest,
0.068,520.0,552.0,Rest,
0.068,515.0,550.0,Rest,
0.068,511.0,550.0,Rest,
0.068,511.0,549.0,Rest,
0.068,511.0,550.0,Rest,
0.068,514.0,550.0,Rest,
0.068,518.0,549.0,Rest,
0.068,519.0,547.0,Rest,
0.068,525.0,545.0,Rest,
0.068,524.0,542.0,Rest,
0.069,527.0,539.0,Rest,
0.069,519.0,537.0,Rest,
0.069,513.0,535.0,Rest,
0.069,513.0,531.0,Rest,
0.069,511.0,529.0,Rest,
0.069,513.0,529.0,Rest,
0.069,511.0,532.0,Rest,
0.069,519.0,532.0,Rest,
0.069,523.0,531.0,Rest,
0.069,520.0,531.0,Rest,
0.069,520.0,531.0,Rest,
0.069,528.0,530.0,Rest,
0.07,535.0,528.0,Rest,
0.07,530.0,525.0,Rest,
0.07,526.0,522.0,Rest,
0.07,529.0,521.0,Rest,
0.07,525.0,519.0,Rest,
0.07,507.0,519.0,Rest,
0.07,500.0,517.0,Rest,
0.07,503.0,515.0,Rest,
0.07,502.0,516.0,Rest,
0.07,503.0,517.0,Rest,
0.07,505.0,519.0,Rest,
0.07,506.0,521.0,Rest,
0.071,511.0,523.0,Rest,
0.071,517.0,522.0,Rest,
0.071,521.0,518.0,Rest,
0.071,521.0,514.0,Rest,
0.071,522.0,514.0,Rest,
0.071,522.0,515.0,Rest,
0.071,520.0,517.0,Rest,
0.071,517.0,517.0,Rest,
0.071,515.0,515.0,Rest,
0.071,512.0,514.0,Rest,
0.071,512.0,514.0,Rest,
0.071,513.0,511.0,Rest,
0.072,514.0,508.0,Rest,
0.072,519.0,505.0,Rest,
0.072,523.0,503.0,Rest,
0.072,527.0,500.0,Rest,
0.072,532.0,497.0,Rest,
0.072,530.0,493.0,Rest,
0.072,522.0,490.0,Rest,
0.072,520.0,489.0,Rest,
0.072,518.0,488.0,Rest,
0.072,514.0,487.0,Rest,
0.072,513.0,484.0,Rest,
0.072,518.0,483.0,Rest,
0.073,520.0,480.0,Rest,
0.073,522.0,478.0,Rest,
0.073,527.0,477.0,Rest,
0.073,539.0,475.0,Rest,
0.073,550.0,473.0,Rest,
0.073,561.0,470.0,Rest,
0.073,555.0,469.0,Rest,
0.073,533.0,467.0,Rest,
0.073,523.0,469.0,Rest,
0.073,516.0,470.0,Rest,
0.073,511.0,471.0,Rest,
0.073,510.0,472.0,Rest,
0.073,513.0,473.0,Rest,
0.074,519.0,474.0,Rest,
0.074,522.0,474.0,Rest,
0.074,527.0,474.0,Rest,
0.074,530.0,473.0,Rest,
0.074,529.0,473.0,Rest,
0.074,533.0,473.0,Rest,
0.074,545.0,474.0,Rest,
0.074,553.0,474.0,Rest,
0.074,553.0,475.0,Rest,
0.074,534.0,476.0,Rest,
0.074,524.0,478.0,Rest,
0.074,517.0,479.0,Rest,
0.075,510.0,478.0,Rest,
0.075,511.0,476.0,Rest,
0.075,522.0,477.0,Rest,
0.075,535.0,476.0,Rest,
0.075,548.0,473.0,Rest,
0.075,552.0,472.0,Rest,
0.075,544.0,470.0,Rest,
0.075,527.0,468.0,Rest,
0.075,514.0,467.0,Rest,
0.075,510.0,467.0,Rest,
0.075,510.0,468.0,Rest,
0.075,511.0,466.0,Rest,
0.076,512.0,465.0,Rest,
0.076,513.0,464.0,Rest,
0.076,513.0,463.0,Rest,
0.076,516.0,461.0,Rest,
0.076,520.0,461.0,Rest,
0.076,524.0,460.0,Rest,
0.076,525.0,458.0,Rest,
0.076,525.0,457.0,Rest,
0.076,523.0,457.0,Rest,
0.076,521.0,456.0,Rest,
0.076,521.0,454.0,Rest,
0.076,519.0,455.0,Rest,
0.076,515.0,456.0,Rest,
0.077,509.0,456.0,Rest,
0.077,507.0,455.0,Rest,
0.077,518.0,456.0,Rest,
0.077,526.0,457.0,Rest,
0.077,534.0,459.0,Rest,
0.077,544.0,459.0,Rest,
0.077,546.0,460.0,Rest,
0.077,538.0,463.0,Rest,
0.077,528.0,464.0,Rest,
0.077,520.0,466.0,Rest,
0.077,510.0,464.0,Rest,
0.077,508.0,462.0,Rest,
0.078,511.0,462.0,Rest,
0.078,516.0,463.0,Rest,
0.078,520.0,463.0,Rest,
0.078,517.0,463.0,Rest,
0.078,510.0,461.0,Rest,
0.078,511.0,462.0,Rest,
0.078,514.0,462.0,Rest,
0.078,518.0,463.0,Rest,
0.078,518.0,463.0,Rest,
0.078,515.0,465.0,Rest,
0.078,516.0,467.0,Rest,
0.078,517.0,467.0,Rest,
0.078,514.0,467.0,Rest,
0.079,514.0,465.0,Rest,
0.079,515.0,466.0,Rest,
0.079,512.0,466.0,Rest,
0.079,515.0,466.0,Rest,
0.079,520.0,466.0,Rest,
0.079,524.0,467.0,Rest,
0.079,526.0,468.0,Rest,
0.079,527.0,469.0,Rest,
0.079,527.0,469.0,Rest,
0.079,519.0,469.0,Rest,
0.079,514.0,468.0,Rest,
0.079,512.0,469.0,Rest,
0.08,516.0,470.0,Rest,
0.08,517.0,469.0,Rest,
0.08,519.0,469.0,Rest,
0.08,514.0,469.0,Rest,
0.08,511.0,470.0,Rest,
0.08,516.0,472.0,Rest,
0.08,521.0,474.0,Rest,
0.08,527.0,475.0,Rest,
0.08,522.0,479.0,Rest,
0.08,513.0,482.0,Rest,
0.08,506.0,483.0,Rest,
0.08,503.0,485.0,Rest,
0.08,502.0,486.0,Rest,
0.081,498.0,486.0,Rest,
0.081,494.0,487.0,Rest,
0.081,501.0,489.0,Rest,
0.081,507.0,491.0,Rest,
0.081,515.0,492.0,Rest,
0.081,523.0,495.0,Rest,
0.081,526.0,496.0,Rest,
0.081,532.0,497.0,Rest,
0.081,528.0,499.0,Rest,
0.081,525.0,499.0,Rest,
0.081,522.0,497.0,Rest,
0.081,516.0,495.0,Rest,
0.082,498.0,495.0,Rest,
0.082,496.0,494.0,Rest,
0.082,498.0,493.0,Rest,
0.082,500.0,493.0,Rest,
0.082,500.0,492.0,Rest,
0.082,505.0,491.0,Rest,
0.082,513.0,491.0,Rest,
0.082,517.0,491.0,Rest,
0.082,521.0,492.0,Rest,
0.082,516.0,491.0,Rest,
0.082,510.0,491.0,Rest,
0.082,512.0,492.0,Rest,
0.082,507.0,492.0,Rest,
0.083,506.0,490.0,Rest,
0.083,510.0,488.0,Rest,
0.083,513.0,488.0,Rest,
0.083,511.0,489.0,Rest,
0.083,506.0,490.0,Rest,
0.083,507.0,492.0,Rest,
0.083,512.0,493.0,Rest,
0.083,518.0,492.0,Rest,
0.083,518.0,492.0,Rest,
0.083,517.0,491.0,Rest,
0.083,518.0,491.0,Rest,
0.083,518.0,491.0,Rest,
0.084,516.0,491.0,Rest,
0.084,513.0,491.0,Rest,
0.084,511.0,492.0,Rest,
0.084,513.0,492.0,Rest,
0.084,509.0,492.0,Rest,
0.084,501.0,492.0,Rest,
0.084,502.0,495.0,Rest,
0.084,512.0,498.0,Rest,
0.084,514.0,499.0,Rest,
0.084,517.0,499.0,Rest,
0.084,519.0,499.0,Rest,
0.084,519.0,502.0,Rest,
0.084,518.0,502.0,Rest,
0.085,520.0,504.0,Rest,
0.085,522.0,504.0,Rest,
0.085,516.0,505.0,Rest,
0.085,511.0,506.0,Rest,
0.085,509.0,508.0,Rest,
0.085,510.0,510.0,Rest,
0.085,512.0,510.0,Rest,
0.085,516.0,511.0,Rest,
0.085,523.0,512.0,Rest,
0.085,537.0,511.0,Rest,
0.085,545.0,512.0,Rest,
0.085,532.0,512.0,Rest,
0.086,524.0,511.0,Rest,
0.086,505.0,510.0,Rest,
0.086,491.0,509.0,Rest,
0.086,494.0,509.0,Rest,
0.086,494.0,510.0,Rest,
0.086,496.0,512.0,Rest,
0.086,499.0,513.0,Rest,
0.086,503.0,512.0,Rest,
0.086,507.0,512.0,Rest,
0.086,510.0,511.0,Rest,
0.086,511.0,510.0,Rest,
0.086,512.0,510.0,Rest,
0.086,511.0,509.0,Rest,
0.087,510.0,507.0,Rest,
0.087,508.0,509.0,Rest,
0.087,507.0,512.0,Rest,
0.087,504.0,516.0,Rest,
0.087,508.0,516.0,Rest,
0.087,505.0,513.0,Rest,
0.087,505.0,512.0,Rest,
0.087,518.0,512.0,Rest,
0.087,529.0,512.0,Rest,
0.087,537.0,512.0,Rest,
0.087,532.0,512.0,Rest,
0.087,525.0,513.0,Rest,
0.087,515.0,512.0,Rest,
0.088,510.0,513.0,Rest,
0.088,507.0,514.0,Rest,
0.088,506.0,515.0,Rest,
0.088,503.0,515.0,Rest,
0.088,503.0,516.0,Rest,
0.088,508.0,517.0,Rest,
0.088,509.0,518.0,Rest,
0.088,514.0,518.0,Rest,
0.088,514.0,518.0,Rest,
0.088,517.0,520.0,Rest,
0.088,516.0,520.0,Rest,
0.088,515.0,519.0,Rest,
0.089,512.0,518.0,Rest,
0.089,508.0,517.0,Rest,
0.089,506.0,517.0,Rest,
0.089,508.0,518.0,Rest,
0.089,510.0,519.0,Rest,
0.089,517.0,520.0,Rest,
0.089,524.0,521.0,Rest,
0.089,529.0,521.0,Rest,
0.089,531.0,522.0,Rest,
0.089,534.0,523.0,Rest,
0.089,527.0,524.0,Rest,
0.089,523.0,525.0,Rest,
0.089,513.0,525.0,Rest,
0.09,508.0,526.0,Rest,
0.09,504.0,527.0,Rest,
0.09,508.0,527.0,Rest,
0.09,512.0,527.0,Rest,
0.09,520.0,528.0,Rest,
0.09,521.0,529.0,Rest,
0.09,515.0,530.0,Rest,
0.09,506.0,528.0,Rest,
0.09,508.0,526.0,Rest,
0.09,512.0,526.0,Rest,
0.09,518.0,526.0,Rest,
0.09,517.0,525.0,Rest,
0.091,516.0,525.0,Rest,
0.091,513.0,524.0,Rest,
0.091,511.0,525.0,Rest,
0.091,508.0,526.0,Rest,
0.091,507.0,526.0,Rest,
0.091,513.0,525.0,Rest,
0.091,520.0,523.0,Rest,
0.091,522.0,524.0,Rest,
0.091,529.0,523.0,Rest,
0.091,525.0,521.0,Rest,
0.091,526.0,521.0,Rest,
0.091,523.0,520.0,Rest,
0.092,514.0,521.0,Rest,
0.092,505.0,521.0,Rest,
0.092,505.0,521.0,Rest,
0.092,503.0,522.0,Rest,
0.092,503.0,523.0,Rest,
0.092,502.0,525.0,Rest,
0.092,504.0,527.0,Rest,
0.092,506.0,526.0,Rest,
0.092,509.0,524.0,Rest,
0.092,513.0,524.0,Rest,
0.092,516.0,524.0,Rest,
0.092,519.0,523.0,Rest,
0.092,521.0,522.0,Rest,
0.093,523.0,523.0,Rest,
0.093,522.0,523.0,Rest,
0.093,520.0,524.0,Rest,
0.093,514.0,523.0,Rest,
0.093,511.0,524.0,Rest,
0.093,511.0,525.0,Rest,
0.093,512.0,526.0,Rest,
0.093,513.0,526.0,Rest,
0.093,514.0,526.0,Rest,
0.093,521.0,527.0,Rest,
0.093,532.0,526.0,Rest,
0.093,538.0,522.0,Rest,
0.094,535.0,522.0,Rest,
0.094,524.0,521.0,Rest,
0.094,515.0,519.0,Rest,
0.094,510.0,522.0,Rest,
0.094,502.0,524.0,Rest,
0.094,499.0,524.0,Rest,
0.094,502.0,525.0,Rest,
0.094,504.0,525.0,Rest,
0.094,511.0,526.0,Rest,
0.094,518.0,525.0,Rest,
0.094,524.0,524.0,Rest,
0.094,533.0,522.0,Rest,
0.095,532.0,523.0,Rest,
0.095,516.0,520.0,Rest,
0.095,510.0,519.0,Rest,
0.095,509.0,520.0,Rest,
0.095,510.0,520.0,Rest,
0.095,505.0,521.0,Rest,
0.095,503.0,522.0,Rest,
0.095,506.0,523.0,Rest,
0.095,508.0,522.0,Rest,
0.095,510.0,520.0,Rest,
0.095,513.0,519.0,Rest,
0.095,516.0,518.0,Rest,
0.095,518.0,517.0,Rest,
0.096,519.0,514.0,Rest,
