Timestamp,Channel1,Channel2,Action1,Action2
0.0,663.0,578.0,Rest,
0.003,288.0,459.0,Rest,
0.003,763.0,598.0,Rest,
0.004,105.0,395.0,Rest,
0.004,828.0,624.0,Rest,
0.004,5.0,348.0,Rest,
0.005,861.0,634.0,Rest,
0.005,5.0,335.0,Rest,
0.005,838.0,656.0,Rest,
0.005,6.0,347.0,Rest,
0.005,802.0,652.0,Rest,
0.005,57.0,373.0,Rest,
0.005,773.0,652.0,Rest,
0.005,196.0,421.0,Rest,
0.005,711.0,602.0,Rest,
0.005,367.0,481.0,Rest,
0.005,573.0,574.0,Rest,
0.005,534.0,504.0,Rest,
0.005,421.0,499.0,Rest,
0.005,704.0,549.0,Rest,
0.005,283.0,470.0,Rest,
0.005,838.0,632.0,Rest,
0.005,154.0,434.0,Rest,
0.005,937.0,683.0,Rest,
0.005,67.0,402.0,Rest,
0.005,989.0,695.0,Rest,
0.005,45.0,384.0,Rest,
0.005,973.0,696.0,Rest,
0.005,65.0,421.0,Rest,
0.005,930.0,698.0,Rest,
0.005,173.0,464.0,Rest,
0.005,863.0,678.0,Rest,
0.005,344.0,488.0,Rest,
0.005,758.0,646.0,Rest,
0.005,527.0,527.0,Rest,
0.005,603.0,579.0,Rest,
0.005,669.0,562.0,Rest,
0.005,413.0,505.0,Rest,
0.014,798.0,632.0,Rest,
0.014,259.0,450.0,Rest,
0.014,933.0,658.0,Rest,
0.015,155.0,422.0,Rest,
0.016,995.0,670.0,Rest,
0.016,96.0,373.0,Rest,
0.016,1016.0,700.0,Rest,
0.016,103.0,364.0,Rest,
0.018,1000.0,671.0,Rest,
0.018,165.0,402.0,Rest,
0.019,941.0,667.0,Rest,
0.019,312.0,457.0,Rest,
0.019,870.0,646.0,Rest,
0.019,536.0,504.0,Rest,
0.019,762.0,616.0,Rest,
0.019,717.0,585.0,Rest,
0.019,566.0,568.0,Rest,
0.019,799.0,598.0,Rest,
0.019,321.0,506.0,Rest,
0.022,831.0,630.0,Rest,
0.022,102.0,394.0,Rest,
0.023,861.0,627.0,Rest,
0.023,5.0,348.0,Rest,
0.023,891.0,619.0,Rest,
0.023,5.0,338.0,Rest,
0.023,900.0,638.0,Rest,
0.023,29.0,356.0,Rest,
0.023,863.0,648.0,Rest,
0.023,114.0,351.0,Rest,
0.023,783.0,606.0,Rest,
0.023,262.0,403.0,Rest,
0.023,666.0,561.0,Rest,
0.023,422.0,451.0,Rest,
0.023,499.0,522.0,Rest,
0.023,562.0,494.0,Rest,
0.023,315.0,463.0,Rest,
0.023,676.0,536.0,Rest,
0.023,137.0,412.0,Rest,
0.023,774.0,572.0,Rest,
0.023,5.0,355.0,Rest,
0.023,838.0,607.0,Rest,
0.023,5.0,329.0,Rest,
0.023,887.0,615.0,Rest,
0.023,5.0,313.0,Rest,
0.023,888.0,637.0,Rest,
0.023,47.0,316.0,Rest,
0.023,847.0,618.0,Rest,
0.023,155.0,341.0,Rest,
0.023,770.0,596.0,Rest,
0.023,314.0,418.0,Rest,
0.023,641.0,583.0,Rest,
0.023,471.0,490.0,Rest,
0.023,475.0,543.0,Rest,
0.023,624.0,534.0,Rest,
0.023,308.0,484.0,Rest,
0.023,753.0,594.0,Rest,
0.023,153.0,402.0,Rest,
0.023,848.0,645.0,Rest,
0.023,35.0,363.0,Rest,
0.023,908.0,638.0,Rest,
0.023,5.0,347.0,Rest,
0.023,925.0,670.0,Rest,
0.023,15.0,351.0,Rest,
0.023,901.0,678.0,Rest,
0.023,86.0,388.0,Rest,
0.023,851.0,661.0,Rest,
0.023,219.0,408.0,Rest,
0.023,769.0,628.0,Rest,
0.023,394.0,456.0,Rest,
0.023,630.0,552.0,Rest,
0.023,552.0,525.0,Rest,
0.023,445.0,525.0,Rest,
0.023,684.0,563.0,Rest,
0.033,266.0,445.0,Rest,
0.033,788.0,602.0,Rest,
0.033,103.0,387.0,Rest,
0.034,862.0,646.0,Rest,
0.034,5.0,384.0,Rest,
0.034,902.0,640.0,Rest,
0.034,5.0,343.0,Rest,
0.034,907.0,650.0,Rest,
0.034,27.0,366.0,Rest,
0.034,878.0,630.0,Rest,
0.034,113.0,376.0,Rest,
0.034,818.0,627.0,Rest,
0.034,275.0,423.0,Rest,
0.034,726.0,614.0,Rest,
0.034,444.0,473.0,Rest,
0.034,567.0,554.0,Rest,
0.034,593.0,531.0,Rest,
0.034,379.0,493.0,Rest,
0.034,718.0,595.0,Rest,
0.034,203.0,436.0,Rest,
0.034,813.0,613.0,Rest,
0.034,66.0,378.0,Rest,
0.034,884.0,641.0,Rest,
0.034,5.0,346.0,Rest,
0.034,917.0,655.0,Rest,
0.034,6.0,354.0,Rest,
0.034,910.0,658.0,Rest,
0.034,48.0,358.0,Rest,
0.034,873.0,669.0,Rest,
0.034,155.0,378.0,Rest,
0.034,807.0,620.0,Rest,
0.034,329.0,427.0,Rest,
0.034,698.0,604.0,Rest,
